ROI,Ctrl,Pt,uncorr_p,thr,corr_p,thr
18,9.442033e-04,3.021249e-03,0.025355,*,0.366111,ns
27,-4.408529e-03,-1.434745e-03,0.016093,*,0.289676,ns
34,-5.902770e-03,-1.265431e-03,0.000876,***,0.078818,ns
37,2.142056e-03,4.417863e-03,0.042209,*,0.446922,ns
38,-5.253691e-03,-3.013071e-03,0.028086,*,0.366111,ns
57,-1.124383e-02,-8.391868e-03,0.013970,*,0.289676,ns
59,-9.006114e-03,-6.374555e-03,0.036904,*,0.442851,ns
73,2.785545e-03,4.456290e-03,0.003815,**,0.228889,ns
83,-2.009289e-03,-9.248739e-04,0.040696,*,0.446922,ns
85,-6.732799e-04,6.272746e-04,0.009712,**,0.265399,ns
86,-3.483697e-04,7.592086e-04,0.028475,*,0.366111,ns
91,-4.680924e-04,1.212091e-03,0.007630,**,0.265399,ns
112,-6.480321e-03,-2.320632e-03,0.000038,***,0.006854,**
130,-3.403029e-03,-1.228619e-03,0.015032,*,0.289676,ns
153,2.761844e-03,1.002928e-04,0.009581,**,0.265399,ns
167,-1.128671e-02,-8.337656e-03,0.018215,*,0.298060,ns
176,5.672343e-04,2.832914e-03,0.010321,*,0.265399,ns
