MMD, 6901, 6.810399
BIRC3, 187, 6.423173
UCHL3, 3973, 6.399411
ECHDC3, 10537, 6.301078
GPR160, 7396, 6.272628
PKIA, 2899, 6.157373
TMEM263, 11756, 6.126819
PTGER3, 3018, 5.930628
PLPPR4, 5358, 5.796210
ATP2B4, 278, 5.763250
IL13RA2, 1835, 5.713284
PNMT, 2791, 5.675618
SLA, 3458, 5.617867
UNC5B-AS1, 15264, 5.611058
CFD, 913, 5.589354
CPNE6, 4967, 5.577560
GRIN3A, 12252, 5.562752
SSTR1, 3630, 5.524911
GMFB, 1428, 5.458422
FARP1, 5554, 5.262511
ZCCHC12, 13383, 5.207361
SNX7, 8083, 5.165001
CENPW, 14545, 5.143021
XKR4, 12129, 5.117273
PLPPR2, 10109, 5.083235
BAIAP3, 4737, 5.057065
ATOH7, 13640, 5.042583
ANKRD6, 6423, 4.989032
CENPVL3, 14387, 4.947477
TENM3, 9086, 4.938029
SCN3B, 9156, 4.907893
SYNPR, 12650, 4.850274
CXorf57, 8717, 4.844369
GNPTAB, 10369, 4.844200
LRRC3B, 12228, 4.834778
LMO3, 9209, 4.804526
GLRA2, 1419, 4.796295
RIPOR2, 5247, 4.787393
MARCKS, 2104, 4.783091
CAMK2D, 457, 4.778057
LYRM9, 13517, 4.760781
PID1, 8676, 4.715274
TUBB2A, 3933, 4.697190
NECAB2, 8429, 4.688280
CPLX3, 15023, 4.688052
KCNA3, 1921, 4.684496
MOB1B, 11934, 4.677389
SLC7A4, 3487, 4.675272
MSANTD1, 14367, 4.646760
PDE2A, 2625, 4.645583
SUB1, 6080, 4.636258
SST, 3629, 4.623906
DPYSL3, 977, 4.599851
C2CD4C, 12501, 4.589416
SPPL3, 12359, 4.556564
PTPRR, 3055, 4.556542
SLIT1, 3509, 4.546909
FKBP1A, 1252, 4.520245
SMIM29, 13690, 4.513301
FAM110C, 15041, 4.503673
RSPH9, 13681, 4.502379
PPM1M, 12649, 4.495044
CELF4, 9354, 4.477379
ZNF831, 12562, 4.475672
LRPAP1, 2080, 4.472371
TCEA3, 3737, 4.456353
GRIK2, 1521, 4.432251
GNB4, 9877, 4.398843
MCUB, 8670, 4.396667
NIT2, 9411, 4.393630
MKL2, 9615, 4.385560
LOC100506100, 15523, 4.374305
RAPGEF4, 6184, 4.357854
CASK, 4511, 4.350447
SVOP, 8967, 4.335715
GABRA5, 1329, 4.326308
FAM71F1, 11431, 4.323476
PNMA8A, 8829, 4.316069
YWHAH, 4072, 4.311997
TUBB, 13558, 4.298444
DYNLL1, 4557, 4.297564
NUDT11, 8796, 4.294040
PCDH20, 10175, 4.293815
LOXL1, 2070, 4.287985
PTCHD1, 12753, 4.281552
SUMO3, 3529, 4.275497
CNTN1, 701, 4.257425
ISOC1, 7844, 4.255853
LSM3, 7502, 4.252013
LMO1, 2063, 4.251932
PLD6, 13514, 4.238527
GLOD4, 7857, 4.238227
STUM, 14491, 4.231600
ASCL2, 249, 4.228210
TINCR, 13859, 4.220945
PGM2L1, 13929, 4.207199
NSG2, 8197, 4.195616
B9D1, 7425, 4.186188
ARPP19, 5986, 4.176299
SYT17, 8266, 4.172225
C1S, 398, 4.168740
PYGL, 3079, 4.163921
LRRC56, 12194, 4.163803
ACSL4, 1197, 4.158406
STX1A, 3659, 4.152776
TEKT2, 7503, 4.141689
RASL11B, 10261, 4.139198
PCSK5, 2615, 4.132645
DNAH6, 950, 4.122542
CHID1, 10266, 4.117116
RBP4, 3155, 4.115474
MAPK1IP1L, 11989, 4.115091
SUSD1, 10074, 4.108209
GDA, 5139, 4.096230
CTXN1, 14832, 4.094153
FAM171B, 13334, 4.092577
UBE2S, 7531, 4.034036
HBG1, 1615, 4.032285
