"","source","term_name","term_id","p_value","significant","term_size","query_size","intersection_size","precision","recall","effective_domain_size"
"1","CORUM","C1q complex","CORUM:6418",0.00580727927224857,TRUE,3,104,3,0.0288461538461538,1,3629
"2","GO:BP","positive regulation of immune system process","GO:0002684",6.74631637805752e-11,TRUE,1199,125,36,0.288,0.0300250208507089,17906
"3","GO:BP","regulation of immune system process","GO:0002682",8.01927620127583e-10,TRUE,1688,125,41,0.328,0.0242890995260664,17906
"4","GO:BP","synapse pruning","GO:0098883",1.01256647683348e-09,TRUE,11,138,7,0.0507246376811594,0.636363636363636,17906
"5","GO:BP","regulation of immune response","GO:0050776",1.23830776103227e-09,TRUE,1116,153,37,0.241830065359477,0.0331541218637993,17906
"6","GO:BP","immune response","GO:0006955",5.45705900958302e-09,TRUE,2294,126,47,0.373015873015873,0.0204882301656495,17906
"7","GO:BP","positive regulation of immune response","GO:0050778",3.17387071980194e-08,TRUE,892,125,28,0.224,0.031390134529148,17906
"8","GO:BP","regulation of leukocyte activation","GO:0002694",1.04979839044543e-07,TRUE,598,153,25,0.163398692810458,0.0418060200668896,17906
"9","GO:BP","leukocyte activation","GO:0045321",1.23893016072066e-07,TRUE,1305,153,37,0.241830065359477,0.0283524904214559,17906
"11","GO:BP","regulation of lymphocyte proliferation","GO:0050670",3.5988629761444e-07,TRUE,219,96,13,0.135416666666667,0.0593607305936073,17906
"12","GO:BP","regulation of mononuclear cell proliferation","GO:0032944",4.02879330729936e-07,TRUE,221,96,13,0.135416666666667,0.0588235294117647,17906
"13","GO:BP","positive regulation of leukocyte activation","GO:0002696",4.15640630252141e-07,TRUE,396,153,20,0.130718954248366,0.0505050505050505,17906
"14","GO:BP","regulation of cell activation","GO:0050865",4.54769693976636e-07,TRUE,641,153,25,0.163398692810458,0.0390015600624025,17906
"15","GO:BP","positive regulation of cell activation","GO:0050867",7.99074404874272e-07,TRUE,411,153,20,0.130718954248366,0.048661800486618,17906
"16","GO:BP","regulation of leukocyte proliferation","GO:0070663",8.16963086803913e-07,TRUE,234,96,13,0.135416666666667,0.0555555555555556,17906
"17","GO:BP","cell activation","GO:0001775",8.43107081280301e-07,TRUE,1465,153,38,0.248366013071895,0.025938566552901,17906
"18","GO:BP","immune effector process","GO:0002252",8.63346793161128e-07,TRUE,1281,109,29,0.26605504587156,0.0226385636221702,17906
"19","GO:BP","activation of immune response","GO:0002253",2.06400325851375e-06,TRUE,721,125,23,0.184,0.0319001386962552,17906
"20","GO:BP","leukocyte proliferation","GO:0070661",2.46440505339778e-06,TRUE,310,96,14,0.145833333333333,0.0451612903225806,17906
"21","GO:BP","regulation of immune effector process","GO:0002697",3.17289473106328e-06,TRUE,451,121,18,0.148760330578512,0.0399113082039911,17906
"22","GO:BP","positive regulation of immune effector process","GO:0002699",3.36733441688447e-06,TRUE,207,121,13,0.107438016528926,0.0628019323671498,17906
"23","GO:BP","innate immune response","GO:0045087",3.40083185355265e-06,TRUE,1010,152,30,0.197368421052632,0.0297029702970297,17906
"24","GO:BP","defense response to other organism","GO:0098542",4.76935191830187e-06,TRUE,1212,153,33,0.215686274509804,0.0272277227722772,17906
"25","GO:BP","regulation of interleukin-6 biosynthetic process","GO:0045408",6.70683976791688e-06,TRUE,28,153,7,0.0457516339869281,0.25,17906
"26","GO:BP","complement-mediated synapse pruning","GO:0150062",7.67663457275489e-06,TRUE,4,138,4,0.0289855072463768,1,17906
"27","GO:BP","lymphocyte proliferation","GO:0046651",8.29912953945823e-06,TRUE,283,96,13,0.135416666666667,0.0459363957597173,17906
"28","GO:BP","mononuclear cell proliferation","GO:0032943",9.42310117311678e-06,TRUE,286,96,13,0.135416666666667,0.0454545454545455,17906
"29","GO:BP","interleukin-6 biosynthetic process","GO:0042226",1.13677358134342e-05,TRUE,30,153,7,0.0457516339869281,0.233333333333333,17906
"30","GO:BP","myeloid leukocyte activation","GO:0002274",1.18411325185195e-05,TRUE,657,125,21,0.168,0.0319634703196347,17906
"31","GO:BP","macrophage activation","GO:0042116",1.41017911571336e-05,TRUE,102,138,10,0.072463768115942,0.0980392156862745,17906
"32","GO:BP","leukocyte mediated immunity","GO:0002443",1.43498992468403e-05,TRUE,880,133,25,0.18796992481203,0.0284090909090909,17906
"33","GO:BP","defense response","GO:0006952",1.78004686752895e-05,TRUE,1783,153,40,0.261437908496732,0.0224340998317443,17906
"34","GO:BP","leukocyte cell-cell adhesion","GO:0007159",1.78092658650195e-05,TRUE,356,114,15,0.131578947368421,0.0421348314606742,17906
"35","GO:BP","G protein-coupled purinergic receptor signaling pathway","GO:0035588",1.90044637888952e-05,TRUE,24,117,6,0.0512820512820513,0.25,17906
"36","GO:BP","G protein-coupled purinergic nucleotide receptor signaling pathway","GO:0035589",2.14411657343129e-05,TRUE,13,109,5,0.0458715596330275,0.384615384615385,17906
"37","GO:BP","positive regulation of leukocyte cell-cell adhesion","GO:1903039",2.51612889714353e-05,TRUE,230,153,14,0.0915032679738562,0.0608695652173913,17906
"38","GO:BP","positive regulation of T cell proliferation","GO:0042102",3.14481268642079e-05,TRUE,100,153,10,0.065359477124183,0.1,17906
"39","GO:BP","leukocyte activation involved in immune response","GO:0002366",3.54545019808756e-05,TRUE,704,92,18,0.195652173913043,0.0255681818181818,17906
"40","GO:BP","adaptive immune response","GO:0002250",3.55285810410808e-05,TRUE,677,153,23,0.150326797385621,0.03397341211226,17906
"41","GO:BP","cell activation involved in immune response","GO:0002263",3.86802201650609e-05,TRUE,708,92,18,0.195652173913043,0.0254237288135593,17906
"43","GO:BP","positive regulation of cytokine production","GO:0001819",4.69678126778651e-05,TRUE,470,153,19,0.124183006535948,0.0404255319148936,17906
"44","GO:BP","response to other organism","GO:0051707",5.172688627226e-05,TRUE,1551,153,36,0.235294117647059,0.02321083172147,17906
"45","GO:BP","response to external biotic stimulus","GO:0043207",5.34700969430019e-05,TRUE,1553,153,36,0.235294117647059,0.0231809401159047,17906
"46","GO:BP","positive regulation of lymphocyte proliferation","GO:0050671",5.46832415489388e-05,TRUE,136,153,11,0.0718954248366013,0.0808823529411765,17906
"47","GO:BP","positive regulation of mononuclear cell proliferation","GO:0032946",5.90248795822621e-05,TRUE,137,153,11,0.0718954248366013,0.0802919708029197,17906
"48","GO:BP","response to biotic stimulus","GO:0009607",8.72602268729582e-05,TRUE,1583,153,36,0.235294117647059,0.0227416298168035,17906
"49","GO:BP","positive regulation of myeloid leukocyte mediated immunity","GO:0002888",9.93275424859242e-05,TRUE,30,121,6,0.0495867768595041,0.2,17906
"50","GO:BP","positive regulation of leukocyte proliferation","GO:0070665",0.000106397198374168,TRUE,145,153,11,0.0718954248366013,0.0758620689655172,17906
"51","GO:BP","purinergic receptor signaling pathway","GO:0035587",0.00012261762292136,TRUE,32,117,6,0.0512820512820513,0.1875,17906
"52","GO:BP","negative regulation of leukocyte activation","GO:0002695",0.000142925263118061,TRUE,187,96,10,0.104166666666667,0.053475935828877,17906
"53","GO:BP","regulation of myeloid leukocyte mediated immunity","GO:0002886",0.000146280340078546,TRUE,53,121,7,0.0578512396694215,0.132075471698113,17906
"54","GO:BP","glial cell activation","GO:0061900",0.000158643140654355,TRUE,64,153,8,0.0522875816993464,0.125,17906
"55","GO:BP","regulation of leukocyte degranulation","GO:0043300",0.000160206275562396,TRUE,44,694,12,0.0172910662824208,0.272727272727273,17906
"56","GO:BP","regulation of leukocyte cell-cell adhesion","GO:1903037",0.000182425922034956,TRUE,322,109,13,0.119266055045872,0.0403726708074534,17906
"57","GO:BP","lymphocyte activation","GO:0046649",0.000200969631836836,TRUE,754,96,18,0.1875,0.0238726790450928,17906
"58","GO:BP","regulation of cytokine biosynthetic process","GO:0042035",0.000203745399089233,TRUE,123,114,9,0.0789473684210526,0.0731707317073171,17906
"59","GO:BP","positive regulation of cell-cell adhesion","GO:0022409",0.000216018562687383,TRUE,273,153,14,0.0915032679738562,0.0512820512820513,17906
"60","GO:BP","antigen processing and presentation of peptide antigen via MHC class II","GO:0002495",0.000269810553962024,TRUE,100,145,9,0.0620689655172414,0.09,17906
"61","GO:BP","positive regulation of interleukin-6 biosynthetic process","GO:0045410",0.000271729619169749,TRUE,15,153,5,0.0326797385620915,0.333333333333333,17906
"62","GO:BP","regulation of interleukin-6 production","GO:0032675",0.000274219794814439,TRUE,159,153,11,0.0718954248366013,0.0691823899371069,17906
"63","GO:BP","positive regulation of T cell activation","GO:0050870",0.000281987133794063,TRUE,210,92,10,0.108695652173913,0.0476190476190476,17906
"64","GO:BP","regulation of neutrophil degranulation","GO:0043313",0.000309092113425916,TRUE,8,121,4,0.0330578512396694,0.5,17906
"65","GO:BP","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","GO:0002504",0.00032045082457623,TRUE,102,145,9,0.0620689655172414,0.0882352941176471,17906
"66","GO:BP","purinergic nucleotide receptor signaling pathway","GO:0035590",0.000326113719617913,TRUE,21,109,5,0.0458715596330275,0.238095238095238,17906
"67","GO:BP","cytokine biosynthetic process","GO:0042089",0.000399607727131069,TRUE,133,114,9,0.0789473684210526,0.0676691729323308,17906
"68","GO:BP","leukocyte activation involved in inflammatory response","GO:0002269",0.000412398817591414,TRUE,54,138,7,0.0507246376811594,0.12962962962963,17906
"69","GO:BP","microglial cell activation","GO:0001774",0.000412398817591414,TRUE,54,138,7,0.0507246376811594,0.12962962962963,17906
