"","source","term_name","term_id","p_value","significant","term_size","query_size","intersection_size","precision","recall","effective_domain_size"
"1","GO:BP","regulation of protein kinase A signaling","GO:0010738",0.0465184216703578,TRUE,21,293,5,0.0170648464163823,0.238095238095238,17906
"2","GO:CC","neuron projection","GO:0043005",0.00152054429010857,TRUE,1376,563,71,0.126110124333925,0.0515988372093023,18856
"3","GO:CC","voltage-gated sodium channel complex","GO:0001518",0.00165533914530423,TRUE,17,128,4,0.03125,0.235294117647059,18856
"4","GO:CC","main axon","GO:0044304",0.0027944035583673,TRUE,70,363,9,0.0247933884297521,0.128571428571429,18856
"5","GO:CC","cation channel complex","GO:0034703",0.00363731885256853,TRUE,225,42,6,0.142857142857143,0.0266666666666667,18856
"6","GO:CC","somatodendritic compartment","GO:0036477",0.00462328868355265,TRUE,863,691,57,0.0824891461649783,0.0660486674391657,18856
"7","GO:CC","neuronal cell body","GO:0043025",0.00692698589176416,TRUE,523,420,28,0.0666666666666667,0.0535372848948375,18856
"8","GO:CC","axon","GO:0030424",0.00978364445577082,TRUE,647,111,14,0.126126126126126,0.0216383307573416,18856
"9","GO:CC","sodium channel complex","GO:0034706",0.00991727256035178,TRUE,26,128,4,0.03125,0.153846153846154,18856
"10","GO:CC","glutamatergic synapse","GO:0098978",0.00995934922760907,TRUE,368,418,22,0.0526315789473684,0.0597826086956522,18856
"11","GO:CC","cell body","GO:0044297",0.0132083443668139,TRUE,592,556,36,0.0647482014388489,0.0608108108108108,18856
"12","GO:CC","presynapse","GO:0098793",0.0178143730976394,TRUE,531,531,32,0.0602636534839925,0.0602636534839925,18856
"13","GO:CC","ion channel complex","GO:0034702",0.019067119295684,TRUE,302,42,6,0.142857142857143,0.0198675496688742,18856
"14","GO:CC","calyx of Held","GO:0044305",0.0215112754823767,TRUE,24,339,5,0.0147492625368732,0.208333333333333,18856
"15","GO:CC","transmembrane transporter complex","GO:1902495",0.0281380983203145,TRUE,324,42,6,0.142857142857143,0.0185185185185185,18856
"16","GO:CC","transporter complex","GO:1990351",0.0321834900071914,TRUE,332,42,6,0.142857142857143,0.0180722891566265,18856
"17","GO:CC","neurofibrillary tangle","GO:0097418",0.0454126167848488,TRUE,5,67,2,0.0298507462686567,0.4,18856
"18","GO:MF","delayed rectifier potassium channel activity","GO:0005251",2.14619719687307e-05,TRUE,33,557,10,0.0179533213644524,0.303030303030303,18126
"19","GO:MF","metal ion transmembrane transporter activity","GO:0046873",0.00036378553996064,TRUE,446,418,29,0.069377990430622,0.0650224215246637,18126
"20","GO:MF","voltage-gated sodium channel activity involved in cardiac muscle cell action potential","GO:0086006",0.00215471050247296,TRUE,5,128,3,0.0234375,0.6,18126
"21","GO:MF","voltage-gated potassium channel activity","GO:0005249",0.0032913755572477,TRUE,91,662,14,0.0211480362537764,0.153846153846154,18126
"22","GO:MF","cation transmembrane transporter activity","GO:0008324",0.00713026666663451,TRUE,660,418,34,0.0813397129186603,0.0515151515151515,18126
"23","GO:MF","inorganic cation transmembrane transporter activity","GO:0022890",0.00877883476547311,TRUE,609,418,32,0.076555023923445,0.0525451559934319,18126
"24","GO:MF","voltage-gated ion channel activity","GO:0005244",0.00914076676743178,TRUE,202,363,15,0.0413223140495868,0.0742574257425743,18126
"25","GO:MF","voltage-gated channel activity","GO:0022832",0.00969351529473216,TRUE,203,363,15,0.0413223140495868,0.0738916256157636,18126
"26","GO:MF","voltage-gated sodium channel activity","GO:0005248",0.0119824028708489,TRUE,23,128,4,0.03125,0.173913043478261,18126
"27","GO:MF","monovalent inorganic cation transmembrane transporter activity","GO:0015077",0.0130193120444407,TRUE,393,692,33,0.0476878612716763,0.083969465648855,18126
"28","GO:MF","potassium ion transmembrane transporter activity","GO:0015079",0.01606210723276,TRUE,163,363,13,0.0358126721763085,0.0797546012269939,18126
"29","GO:MF","phosphotransferase activity, alcohol group as acceptor","GO:0016773",0.02095512185269,TRUE,718,388,33,0.0850515463917526,0.0459610027855153,18126
"30","GO:MF","kinase activity","GO:0016301",0.0264839399314956,TRUE,824,388,36,0.0927835051546392,0.0436893203883495,18126
"31","GO:MF","potassium channel activity","GO:0005267",0.0357086844696418,TRUE,126,662,15,0.0226586102719033,0.119047619047619,18126
"32","GO:MF","lipid kinase activity","GO:0001727",0.0413314655489268,TRUE,5,343,3,0.0087463556851312,0.6,18126
"33","GO:MF","steroid hormone receptor activity","GO:0003707",0.0493464680019881,TRUE,56,338,7,0.0207100591715976,0.125,18126
"34","REAC","Voltage gated Potassium channels","REAC:R-HSA-1296072",0.00211366027573321,TRUE,43,625,12,0.0192,0.27906976744186,10594
