"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"1","GOPC",9478,7.479716,7.44833960055043e-14,1.17274107010666e-09,"TRUE"
"2","STEAP2",13896,7.107211,1.1841133838521e-12,7.04001818805022e-09,"TRUE"
"3","KMT5B",7916,6.804487,1.01409944852663e-11,2.82948632006252e-08,"TRUE"
"4","ZBTB21",7777,6.703367,2.03671073880872e-11,4.0085013228179e-08,"TRUE"
"5","NCEH1",9657,6.577528,4.78333803326904e-11,7.95508487175123e-08,"TRUE"
"6","HERC1",4728,6.569382,5.05245149047395e-11,7.95508487175123e-08,"TRUE"
"7","RANBP2",3119,6.19877,5.69061183212869e-10,5.59991770605414e-07,"TRUE"
"8","DESI2",7856,6.070113,1.27820279302974e-09,9.84823919874864e-07,"TRUE"
"9","PRPF4B",4712,6.065735,1.31351554889629e-09,9.84823919874864e-07,"TRUE"
"10","HCFC2",7697,6.044261,1.50096366806834e-09,1.0564714587801e-06,"TRUE"
"11","SLC4A8",5059,6.039777,1.54327364572514e-09,1.0564714587801e-06,"TRUE"
"12","BBS10",10530,5.991834,2.07487662715951e-09,1.25649740363948e-06,"TRUE"
"13","ZNF304",9557,5.915374,3.31122310597892e-09,1.73784026012127e-06,"TRUE"
"14","GTPBP2",8462,5.880202,4.09766104430781e-09,2.01617728570708e-06,"TRUE"
"15","MED12L",12269,5.850078,4.91342542505987e-09,2.27534950934023e-06,"TRUE"
"16","CSRNP3",10716,5.812904,6.13982755352822e-09,2.6127455359541e-06,"TRUE"
"17","RALGAPA1",13783,5.79169,6.9681670116639e-09,2.81317409227303e-06,"TRUE"
"18","ATP2B1",275,5.783073,7.33482140475671e-09,2.88716907544736e-06,"TRUE"
"19","GTF3C4",4946,5.773279,7.7743553431971e-09,2.98554207021069e-06,"TRUE"
"20","ARFIP1",7483,5.742059,9.353221970487e-09,3.50634476012661e-06,"TRUE"
"21","SON",3563,5.734634,9.77231387325181e-09,3.50972695314818e-06,"TRUE"
"22","ANKRD27",11170,5.734015,9.80806515963925e-09,3.50972695314818e-06,"TRUE"
"23","KCNQ5",9320,5.704876,1.1642781517439e-08,4.07367988871283e-06,"TRUE"
"24","KDM5B",5977,5.672013,1.41129264293069e-08,4.72783035381782e-06,"TRUE"
"25","ATL2",10032,5.664247,1.47671565054592e-08,4.8439349828845e-06,"TRUE"
"26","GUCY1A2",1578,5.621078,1.89769562655076e-08,5.85867012549838e-06,"TRUE"
"27","SRPRA",3618,5.515913,3.46973884260262e-08,9.58439264504881e-06,"TRUE"
"28","RANBP9",5467,5.498928,3.82107105864267e-08,1.0372890313505e-05,"TRUE"
"29","ZMIZ1",9514,5.471683,4.45781695727466e-08,1.16980546653816e-05,"TRUE"
"30","YOD1",8942,5.455232,4.89089459911034e-08,1.26241205677037e-05,"TRUE"
"31","TMEM106B",8458,5.446697,5.13137651839419e-08,1.26987616712507e-05,"TRUE"
"32","SATB2",6748,5.445646,5.16177038399521e-08,1.26987616712507e-05,"TRUE"
"33","ZFYVE21",10307,5.425423,5.78174508541511e-08,1.40051655953632e-05,"TRUE"
"34","SPARCL1",4396,5.345209,9.03127837413706e-08,2.09113938236453e-05,"TRUE"
"35","IFT140",5240,5.340135,9.28773930837831e-08,2.11935442623792e-05,"TRUE"
"36","RMND5A",10145,5.332188,9.70363995855352e-08,2.15799906042018e-05,"TRUE"
"37","RPA1",3224,5.326406,1.00175084079185e-07,2.16062561483119e-05,"TRUE"
"38","HP1BP3",7806,5.322296,1.02465663246743e-07,2.1801646862432e-05,"TRUE"
"39","FLRT2",7010,5.269147,1.37059173061014e-07,2.7224145988006e-05,"TRUE"
"40","LOC727896",15219,5.265177,1.40054355352714e-07,2.7224145988006e-05,"TRUE"
"41","MBTD1",8504,5.255752,1.47420837565943e-07,2.83065986277533e-05,"TRUE"
"42","EEA1",4402,5.23471,1.65244101775451e-07,3.09734331244581e-05,"TRUE"
"43","SLC9A6",5781,5.198141,2.01291423334291e-07,3.56843437226306e-05,"TRUE"
"44","ATF2",761,5.193925,2.05906118454044e-07,3.56843437226306e-05,"TRUE"
"45","CLCN5",665,5.178615,2.23539258166678e-07,3.70500806837197e-05,"TRUE"
"46","SCAI",14186,5.178608,2.23547644646134e-07,3.70500806837197e-05,"TRUE"
"47","PHLPP2",6526,5.167474,2.37278961906426e-07,3.8916221408507e-05,"TRUE"
"48","PREPL",5120,5.145736,2.66473957719852e-07,4.32539429309182e-05,"TRUE"
"49","ZNF613",10636,5.138613,2.76773739214207e-07,4.44673726931396e-05,"TRUE"
"50","CLDN12",4798,5.086525,3.64683668108842e-07,5.57470325667351e-05,"TRUE"
"51","ARID5B",11200,5.073388,3.90794525745599e-07,5.91640366140813e-05,"TRUE"
"52","NRCAM",2497,5.06596,4.06347243569e-07,6.09327366666087e-05,"TRUE"
"53","GOLPH3L",8808,5.049573,4.42798705819945e-07,6.51576226461218e-05,"TRUE"
"54","HTR1E",1762,5.038428,4.69370921442644e-07,6.78004142946278e-05,"TRUE"
"55","DAAM1",6501,5.020963,5.14130633925831e-07,7.22766681353769e-05,"TRUE"
"56","XRN1",8377,5.016428,5.26409907363437e-07,7.27045804008931e-05,"TRUE"
"57","CMAHP",4405,5.003034,5.64349826145943e-07,7.59460513903237e-05,"TRUE"
"58","RPS6KB1",3283,4.995976,5.85389410076863e-07,7.81097988276289e-05,"TRUE"
"59","HMGCR",1680,4.991933,5.97779930851085e-07,7.87996743930929e-05,"TRUE"
"60","NRIP1",4304,4.989679,6.04797089724177e-07,7.87996743930929e-05,"TRUE"
"61","THAP1",8759,4.988121,6.09693796849225e-07,7.87996743930929e-05,"TRUE"
"62","STEAP1",7381,4.983557,6.24259127292091e-07,7.92658061226933e-05,"TRUE"
"63","PER2",4684,4.961406,6.99847366925479e-07,8.60866936893881e-05,"TRUE"
"64","SLC39A12",13663,4.956764,7.16769521360752e-07,8.74847760761631e-05,"TRUE"
"65","ZNF75D",4121,4.953843,7.27619219021202e-07,8.81258815652987e-05,"TRUE"
"66","UBR2",6739,4.94091,7.77587972564283e-07,9.19735508552111e-05,"TRUE"
"67","CLIP1",3317,4.939619,7.82753624299669e-07,9.19735508552111e-05,"TRUE"
"68","USP1",4002,4.929402,8.24816974598215e-07,9.34800312725319e-05,"TRUE"
"69","LDLR",2034,4.911323,9.04639261427065e-07,0.000101739608365494,"TRUE"
"70","RAPGEF2",5199,4.876838,1.07799896402117e-06,0.00011625406635968,"TRUE"
"71","ZNF350",9878,4.871327,1.10851199963111e-06,0.000118731438327835,"TRUE"
"72","RNF217",13155,4.863934,1.1507529927637e-06,0.000121601381684996,"TRUE"
"73","FER",1228,4.852653,1.21820734349384e-06,0.000127871164155403,"TRUE"
"74","PPFIBP1",4448,4.849238,1.23936647421791e-06,0.000127903793647221,"TRUE"
