"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"1","LEPR",282,4.609647,4.03353250095051e-06,0.0308057463694504,"TRUE"
"2","PCDHB2",7780,4.534056,5.78616775092252e-06,0.0308057463694504,"TRUE"
"3","MPZL3",13678,4.416713,1.00213146658966e-05,0.0394463998536355,"TRUE"
"4","FAM110A",7825,4.346372,1.38407758533539e-05,0.0416427000495317,"TRUE"
"5","ANKRD37",6380,4.282009,1.85213489020068e-05,0.0416427000495317,"TRUE"
"6","BBS7",2891,4.267044,1.98080103351206e-05,0.0416427000495317,"TRUE"
"7","VEGFC",9244,4.251978,2.11890679954779e-05,0.0416427000495317,"TRUE"
"8","VCPKMT",9592,4.208563,2.56999877839612e-05,0.0416427000495317,"TRUE"
"9","FAM3C",3137,4.159366,3.19132177885011e-05,0.0416427000495317,"TRUE"
"10","CDR2",3454,4.158008,3.21034783872082e-05,0.0416427000495317,"TRUE"
"11","TESC",4826,4.154488,3.26016725459764e-05,0.0416427000495317,"TRUE"
"12","MAP3K9",780,4.142309,3.43826675543927e-05,0.0416427000495317,"TRUE"
"13","ADAM9",8033,4.054768,5.01840850727994e-05,0.0529077589980245,"FALSE"
"14","PRIM1",2553,4.025469,5.68618713538624e-05,0.0529077589980245,"FALSE"
"15","CFAP206",6263,3.998814,6.36606830594366e-05,0.0529077589980245,"FALSE"
"16","RFPL1S",7419,3.976363,6.99772823733291e-05,0.0529077589980245,"FALSE"
"17","NAPG",2709,3.974405,7.05554166420038e-05,0.0529077589980245,"FALSE"
"18","ASAH2B",10873,3.971069,7.15508507276343e-05,0.0529077589980245,"FALSE"
"19","CTSC",2686,3.969684,7.19680131921597e-05,0.0529077589980245,"FALSE"
"20","TMEM267",13431,3.969093,7.21467219851955e-05,0.0529077589980245,"FALSE"
"21","BEND6",10743,3.963282,7.39263701464934e-05,0.0529077589980245,"FALSE"
"22","SUPT16H",9335,3.92433,8.69714493065498e-05,0.0552375504740365,"FALSE"
"23","C2orf27A",5566,3.92344,8.72935129310393e-05,0.0552375504740365,"FALSE"
"24","HSPA4L",14418,3.909373,9.25359885522778e-05,0.0552375504740365,"FALSE"
"25","FAM20A",3648,3.889349,0.000100513485359366,0.0552375504740365,"FALSE"
"26","CLVS2",4875,3.878469,0.000105115918355956,0.0552375504740365,"FALSE"
"27","PRDX2",8586,3.877894,0.000105364603667241,0.0552375504740365,"FALSE"
"28","MTFP1",1275,3.87574,0.000106301144826073,0.0552375504740365,"FALSE"
"29","VAMP4",7032,3.875223,0.000106527098168508,0.0552375504740365,"FALSE"
"30","SIKE1",596,3.866924,0.000110216757250185,0.0552375504740365,"FALSE"
"31","LINC01260",14561,3.85268,0.000116832032719734,0.0552375504740365,"FALSE"
"32","CRABP1",12933,3.842766,0.000121655447887808,0.0552375504740365,"FALSE"
"33","SMCO4",4618,3.837955,0.000124063210074812,0.0552375504740365,"FALSE"
"34","PCP4",4979,3.833569,0.000126297352624028,0.0552375504740365,"FALSE"
"35","CRYGD",14363,3.79525,0.000147494755157161,0.0627649978364728,"FALSE"
"36","DPY19L2P3",8171,3.785757,0.000153241366869055,0.0634943505619281,"FALSE"
"37","HSPB9",3022,3.771084,0.000162539943650637,0.0656202926353662,"FALSE"
"38","FBXO45",15482,3.753209,0.000174585176650095,0.0672623138452699,"FALSE"
"39","CNST",7546,3.749281,0.000177342287107139,0.0672623138452699,"FALSE"
"40","TMEM191A",6009,3.73532,0.000187476638184558,0.0672623138452699,"FALSE"
"41","PPM1E",7667,3.716901,0.00020168142563731,0.0672623138452699,"FALSE"
"42","SMAP1",6050,3.712974,0.000204837937612563,0.0672623138452699,"FALSE"
"43","HCG4",8247,3.712551,0.000205180698646396,0.0672623138452699,"FALSE"
"44","SLC25A15",12592,3.711988,0.000205637738823976,0.0672623138452699,"FALSE"
"45","PIK3CA",3795,3.710499,0.000206851113786171,0.0672623138452699,"FALSE"
"46","CNKSR2",5439,3.707486,0.000209326984974165,0.0672623138452699,"FALSE"
"47","B4GALT6",9860,3.695319,0.000219610883249563,0.0689443723612962,"FALSE"
"48","DENND1B",5917,3.688996,0.000225140758440913,0.0689443723612962,"FALSE"
"49","NME5",8531,3.684863,0.000228825689644229,0.0689443723612962,"FALSE"
"50","LOC100129138",2205,3.674529,0.000238288579598199,0.0689443723612962,"FALSE"
"51","CNIH1",440,3.667585,0.000244852166400144,0.0689443723612962,"FALSE"
"52","CDS1",13581,3.667475,0.000244957491962591,0.0689443723612962,"FALSE"
"53","EXTL2",9327,3.666589,0.000245807392594958,0.0689443723612962,"FALSE"
"54","PRICKLE1",4678,3.662678,0.000249592202260647,0.0689443723612962,"FALSE"
"55","HECTD1",1856,3.65052,0.000261709928781462,0.071045221183864,"FALSE"
"56","EFR3A",11447,3.638196,0.000274554453262603,0.0717466845971642,"FALSE"
"57","MAP3K8",7961,3.634886,0.000278103583159146,0.0717466845971642,"FALSE"
"58","POGLUT1",14391,3.633671,0.000279417113785213,0.0717466845971642,"FALSE"
"59","SERPINB9",614,3.630821,0.00028252108256743,0.0717466845971642,"FALSE"
"60","EPHB1",13803,3.626356,0.000287448997657667,0.0718394360019042,"FALSE"
"61","ALDH8A1",4739,3.620544,0.000293984248903288,0.0721383173459751,"FALSE"
"62","TBC1D30",3980,3.616774,0.000298297533111331,0.0721383173459751,"FALSE"
"63","SEC31A",13508,3.613244,0.000302389898052357,0.0721383173459751,"FALSE"
"64","COX5A",2878,3.59586,0.000323321657848523,0.0732237031255323,"FALSE"
"65","UBE2O",8815,3.592224,0.000327867830567665,0.0732237031255323,"FALSE"
"66","TRMT9B",4285,3.584158,0.000338167342283316,0.0732237031255323,"FALSE"
"67","INSIG2",8656,3.580795,0.000342550344816019,0.0732237031255323,"FALSE"
"68","CTSZ",13313,3.577609,0.000346751634957425,0.0732237031255323,"FALSE"
"69","GFM1",13187,3.576286,0.000348510361448945,0.0732237031255323,"FALSE"
"70","SLC8A1",7384,3.575387,0.000349710202081026,0.0732237031255323,"FALSE"
"71","NDUFC1",276,3.574306,0.000351158063072887,0.0732237031255323,"FALSE"
"72","KCNH4",14770,3.571985,0.000354285708034268,0.0732237031255323,"FALSE"
"73","AP1AR",6414,3.569768,0.000357297519683199,0.0732237031255323,"FALSE"
"74","OGFOD2",1150,3.569183,0.000358096229956557,0.0732237031255323,"FALSE"
"75","FGF7",10071,3.564554,0.000364475411512217,0.0734883883128472,"FALSE"
"76","TTC39B",11936,3.560314,0.000370411604107704,0.0734883883128472,"FALSE"
"77","FGF7P6",1170,3.553041,0.000380805108616487,0.0734883883128472,"FALSE"
"78","SLC35C1",5722,3.551716,0.000382727713029754,0.0734883883128472,"FALSE"
"79","ADAMTS5",14120,3.545212,0.000392297427316927,0.0744183493145182,"FALSE"
"80","TMEM60",1923,3.539038,0.00040158803936948,0.0752738533318151,"FALSE"
"81","BCO2",6935,3.531203,0.000413674135772806,0.0760264267400477,"FALSE"
"82","GTF2B",13455,3.527756,0.000419098285287178,0.0760264267400477,"FALSE"
"83","TCAF1",54,3.527131,0.000420088861631258,0.0760264267400477,"FALSE"
"84","AAK1",1452,3.502802,0.000460391553034185,0.0802480961501378,"FALSE"
"85","RASGRF1",6726,3.500849,0.000463778542460366,0.0802480961501378,"FALSE"
"86","ZNF287",3710,3.500835,0.000463802905662911,0.0802480961501378,"FALSE"
"87","ROCK2",846,3.492352,0.000478786841680439,0.081624863118755,"FALSE"
"88","SOAT1",13853,3.490494,0.000482128438872291,0.081624863118755,"FALSE"
"89","POU3F1",12865,3.486307,0.0004897386243737,0.0817651305208202,"FALSE"
"90","FAM78B",6229,3.484345,0.000493343118417143,0.0817651305208202,"FALSE"
"91","CCDC58",6201,3.474459,0.000511884584406139,0.0839544039736944,"FALSE"
"92","VPS41",12697,3.467194,0.00052592216722844,0.0853674693093999,"FALSE"
"93","ZNF383",14467,3.46258,0.000535022835861266,0.0859585158228125,"FALSE"
"94","SETD7",4975,3.453772,0.000552804523211601,0.0875270112412848,"FALSE"
"95","RACGAP1P",9331,3.452264,0.000555903532812225,0.0875270112412848,"FALSE"
"96","ABCG4",9554,3.443536,0.000574160148703922,0.0882266538181698,"FALSE"
"97","CALN1",6828,3.442616,0.000576116725726295,0.0882266538181698,"FALSE"
"98","GAS6",6317,3.436296,0.000589726284137045,0.0882266538181698,"FALSE"
"99","BIVM",13207,3.435332,0.000591828288691208,0.0882266538181698,"FALSE"
"100","SLC12A5",3663,3.434354,0.000593967945679644,0.0882266538181698,"FALSE"
"101","LOC100505938",6014,3.427371,0.000609455793221177,0.0896811351800694,"FALSE"
"102","SRA1",8929,3.421003,0.000623906440252412,0.0907755026707826,"FALSE"
"103","LOC100294145",8516,3.418257,0.00063023566607088,0.0907755026707826,"FALSE"
"104","SLC25A40",13301,3.414922,0.00063800278767734,0.0907755026707826,"FALSE"
"105","INPP5F",5745,3.406645,0.000657666065405866,0.0915596091429696,"FALSE"
"106","ZNF670",9641,3.404147,0.000663710247274795,0.0915596091429696,"FALSE"
"107","CKMT1A",4015,3.397189,0.000680819268664274,0.0915596091429696,"FALSE"
"108","OGDHL",9102,3.395477,0.00068509129628509,0.0915596091429696,"FALSE"
"109","ABCD2",8784,3.395018,0.000686240887204345,0.0915596091429696,"FALSE"
"110","ANKRD16",6822,3.388919,0.000701687347647342,0.0915596091429696,"FALSE"
"111","PAQR9",7309,3.387145,0.000706240508878393,0.0915596091429696,"FALSE"
"112","RERGL",6418,3.383895,0.000714653278055437,0.0915596091429696,"FALSE"
