"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"1","CEBPZOS",9493,5.743234,9.28852269137193e-09,0.000145970402780096,"TRUE"
"2","EPHA3",12705,5.604779,2.08520852005167e-08,0.000145970402780096,"TRUE"
"3","STAG3L4",10238,5.554676,2.78127156773761e-08,0.000145970402780096,"TRUE"
"4","PPP2R5E",2869,5.355165,8.54783780149547e-08,0.00027460702413029,"TRUE"
"5","FBXO45",364,5.351549,8.72045170308954e-08,0.00027460702413029,"TRUE"
"6","UBA5",6391,5.234161,1.65735945226302e-07,0.000386395530435173,"TRUE"
"7","ZNF91",13652,5.222815,1.76223427102589e-07,0.000386395530435173,"TRUE"
"8","KLHL36",5788,5.201966,1.97191307007597e-07,0.000386395530435173,"TRUE"
"9","TCEAL1",15513,5.164516,2.41061857568588e-07,0.000386395530435173,"TRUE"
"10","ATP6AP1L",6998,5.132208,2.86362781408395e-07,0.000386395530435173,"TRUE"
"11","NYAP2",13296,5.126577,2.95057414780667e-07,0.000386395530435173,"TRUE"
"12","VPS41",7422,5.119811,3.0584201328426e-07,0.000386395530435173,"TRUE"
"13","ARHGEF33",15630,5.111843,3.19030923827072e-07,0.000386395530435173,"TRUE"
"14","CNKSR2",8770,5.064149,4.10228710702805e-07,0.000461360789286834,"TRUE"
"15","NR2F1",8098,5.030964,4.88019786349736e-07,0.000512258102405106,"TRUE"
"16","SDHAF4",7941,5.010785,5.42084514134918e-07,0.000533445042190893,"TRUE"
"17","FAM168A",10187,4.969786,6.70268370708323e-07,0.000620786793929561,"TRUE"
"18","ZNF791",7679,4.951987,7.34595128556563e-07,0.000635545892937021,"TRUE"
"19","PMS2",10974,4.943599,7.66933754576272e-07,0.000635545892937021,"TRUE"
"20","SRSF7",8898,4.870443,1.11348320026575e-06,0.000876589649409213,"TRUE"
"21","ALKBH8",15694,4.83504,1.33118864603455e-06,0.000995382939194604,"TRUE"
"22","KCNE2",3492,4.826316,1.39081769846182e-06,0.000995382939194604,"TRUE"
"23","CCZ1",10561,4.798863,1.59568892192861e-06,0.00106518712573416,"TRUE"
"24","COA7",6657,4.792051,1.65084922667527e-06,0.00106518712573416,"TRUE"
"25","DYNC1LI1",12526,4.787192,1.6913101393048e-06,0.00106518712573416,"TRUE"
"26","AMZ2P1",14979,4.776882,1.78034174431632e-06,0.00107813387554848,"TRUE"
"27","CAP2",4952,4.733373,2.20819150966252e-06,0.0011838361302229,"TRUE"
"28","BICD2",2789,4.724724,2.30428097062996e-06,0.0011838361302229,"TRUE"
"29","ARSJ",8321,4.714429,2.42389502239514e-06,0.0011838361302229,"TRUE"
"30","RAD18",10505,4.711101,2.46382085482644e-06,0.0011838361302229,"TRUE"
"31","METTL2A",4093,4.709668,2.48120624308389e-06,0.0011838361302229,"TRUE"
"32","MED21",6622,4.687299,2.76834369631615e-06,0.00128198739701464,"TRUE"
"33","WAC-AS1",9278,4.679699,2.87296386961627e-06,0.00129242331791738,"TRUE"
"34","ZNF12",723,4.666106,3.06961390459351e-06,0.00134252974799514,"TRUE"
"35","NEGR1",5961,4.649157,3.33294446359154e-06,0.00139796277162474,"TRUE"
"36","ESYT3",8465,4.631168,3.63608680338032e-06,0.00141537345107526,"TRUE"
"37","CNOT7",3565,4.629021,3.6739851357443e-06,0.00141537345107526,"TRUE"
"38","SETD4",9353,4.621442,3.81081880059113e-06,0.00141537345107526,"TRUE"
"39","NLGN1",13088,4.620817,3.82231822496287e-06,0.00141537345107526,"TRUE"
"40","SOS1",12311,4.612765,3.9734746189655e-06,0.00141537345107526,"TRUE"
"41","DLG4",6679,4.611628,3.99527516974869e-06,0.00141537345107526,"TRUE"
"42","DUSP11",3938,4.609046,4.04520833905283e-06,0.00141537345107526,"TRUE"
"43","TMSB15A",15459,4.602222,4.1800730265598e-06,0.00143076630006922,"TRUE"
"44","DPY19L2P2",13476,4.595668,4.31365071754346e-06,0.00143486053321318,"TRUE"
"45","PABPC1L",2786,4.589835,4.43596526298631e-06,0.00143486053321318,"TRUE"
"46","XKR4",3699,4.588453,4.46542814401053e-06,0.00143486053321318,"TRUE"
"47","CCDC181",4819,4.571866,4.83400046307312e-06,0.00152222674582173,"TRUE"
"48","PTPRR",9881,4.549553,5.37599927090212e-06,0.00163476650487829,"TRUE"
"49","PPME1",6384,4.548653,5.39903831398356e-06,0.00163476650487829,"TRUE"
"50","GTF2H1",10621,4.526783,5.98883808236009e-06,0.0017461899186437,"TRUE"
"51","FAM161A",5749,4.520435,6.17126916906211e-06,0.00176666605576151,"TRUE"
"52","CAMSAP1",14391,4.497866,6.86389340700919e-06,0.00192985717309571,"TRUE"
"53","CHRNB1",9213,4.48719,7.21687101420381e-06,0.00199350235295858,"TRUE"
"54","FRMD4A",4418,4.467631,7.90905786501417e-06,0.00211424836210239,"TRUE"
"55","EMC4",13529,4.466039,7.96810906332392e-06,0.00211424836210239,"TRUE"
"56","NOL10",11361,4.463668,8.05683720077125e-06,0.00211424836210239,"TRUE"
"57","DPY19L2P1",3891,4.457585,8.28881738370355e-06,0.00213946606076086,"TRUE"
"58","ZNF256",8882,4.438487,9.05934550607787e-06,0.00230063540311607,"TRUE"
"59","SLC8A3",3650,4.427719,9.523485856589e-06,0.00232954737502424,"TRUE"
"60","MYNN",14102,4.425616,9.61674619787928e-06,0.00232954737502424,"TRUE"
"61","LGR6",8200,4.42141,9.80589071014891e-06,0.00233929923077719,"TRUE"
"62","C11orf80",7056,4.402117,1.07199717980396e-05,0.0025070052335571,"TRUE"
"63","CAMK2A",9605,4.399955,1.08273328600751e-05,0.0025070052335571,"TRUE"
"64","ANKRD18CP",6635,4.382884,1.17118480763038e-05,0.00267250794146962,"TRUE"
"65","KIF3C",14410,4.348415,1.37124944246438e-05,0.00304089048895797,"TRUE"
"66","PATE3",8283,4.307458,1.65141440116826e-05,0.00351831115091914,"TRUE"
"67","HIRA",4128,4.307169,1.653572722566e-05,0.00351831115091914,"TRUE"
