"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"1","FAM71F1",14832,4.708456,2.49600228828762e-06,0.000785991120581772,"TRUE"
"2","TENM3",1428,4.69378,2.68202464083233e-06,0.000828009371958922,"TRUE"
"3","FKBP1A",7502,4.598416,4.25715293787421e-06,0.00117594514047069,"TRUE"
"4","KCNA3",15023,4.548007,5.41563347052201e-06,0.00133233045302139,"TRUE"
"5","GNB4",3458,4.373418,1.22316201408381e-05,0.0021078318096953,"TRUE"
"6","PLPPR4",2791,4.364484,1.27423174992306e-05,0.0021078318096953,"TRUE"
"7","ECHDC3",11756,4.362613,1.28518166866147e-05,0.0021078318096953,"TRUE"
"8","IL13RA2",1835,4.36031,1.29878313366739e-05,0.00210817942676217,"TRUE"
"9","SYNPR",6901,4.344139,1.39822965840555e-05,0.00221102790037934,"TRUE"
"10","PTPRR",12650,4.343192,1.40427303930094e-05,0.00221102790037934,"TRUE"
"11","UNC5B-AS1",15264,4.335727,1.45279160724266e-05,0.00222079649087726,"TRUE"
"12","TSPAN14",14491,4.258898,2.05437179826016e-05,0.00283737578628124,"TRUE"
"13","NTSR1",6253,4.208896,2.56621463555775e-05,0.00331188929810301,"TRUE"
"14","GLOD4",3079,4.190864,2.77894202288257e-05,0.00344523166537686,"TRUE"
"15","ANKRD6",5247,4.181332,2.89806340510401e-05,0.00349036900834059,"TRUE"
"16","MAPK1",10036,4.136049,3.53336773236693e-05,0.00384474567908568,"TRUE"
"17","CNTN1",9411,4.119453,3.7977287617365e-05,0.00404021887523926,"TRUE"
"18","MMD",10537,4.1047,4.04839899522811e-05,0.00422598588668479,"TRUE"
"19","XKR4",2899,4.104445,4.05286674429598e-05,0.00422598588668479,"TRUE"
"20","SMIM29",3538,4.100435,4.12374253958458e-05,0.00423653069074208,"TRUE"
"21","NIT2",8636,4.089164,4.32930689543477e-05,0.00423653069074208,"TRUE"
"22","PBX4",13383,4.077829,4.54581792179499e-05,0.00433634965588019,"TRUE"
"23","KCTD4",3737,4.067567,4.7506551708826e-05,0.00443779477681884,"TRUE"
"24","LMO3",3018,4.064202,4.81970725205476e-05,0.00443779477681884,"TRUE"
"25","SLC17A8",4967,4.053062,5.05515982272575e-05,0.00452235746641006,"TRUE"
"26","C1S",7857,4.045364,5.22418872542465e-05,0.00462105907201186,"TRUE"
"27","CFD",12252,4.016248,5.91320297635555e-05,0.00492767746513371,"TRUE"
"28","LRRC56",8266,3.994069,6.49489489872675e-05,0.00519097056753567,"TRUE"
"29","NPPA",11431,3.973586,7.07985787438222e-05,0.0053233833409564,"TRUE"
"30","SST",9209,3.970202,7.18117228223548e-05,0.00533337535772631,"TRUE"
"31","TSPOAP1",249,3.961283,7.45481135067035e-05,0.00542775496908155,"TRUE"
"32","C5orf49",9242,3.957568,7.57167362342972e-05,0.00546453690921251,"TRUE"
"33","RIPOR2",13517,3.946729,7.92261441821256e-05,0.00566168886814072,"TRUE"
"34","BAIAP3",8083,3.929099,8.5264733662855e-05,0.00591406709921433,"TRUE"
"35","MAGEH1",5140,3.910359,9.21590452475866e-05,0.00625450072165194,"TRUE"
"36","PNMT",7396,3.894773,9.82907348300462e-05,0.00647772004382708,"TRUE"
"37","C2CD4C",8676,3.894681,9.83280463940726e-05,0.00647772004382708,"TRUE"
"38","YWHAH",950,3.888182,0.000100997883805092,0.00656359749923126,"TRUE"
"39","ZNF831",12562,3.882531,0.000103374832577108,0.00664341526092474,"TRUE"
"40","GNPTAB",12129,3.880591,0.000104202947123522,0.00664361240810185,"TRUE"
"41","ATOH7",3629,3.880547,0.000104221801511664,0.00664361240810185,"TRUE"
"42","NNAT",4885,3.868532,0.000109492568589857,0.00681290784130807,"TRUE"
"43","PCSK5",3933,3.867804,0.000109819877185931,0.00681290784130807,"TRUE"
"44","SPPL3",15523,3.854318,0.000116052675527397,0.00702940465800699,"TRUE"
"45","TINCR",913,3.850466,0.000117893296346713,0.00711075445617168,"TRUE"
"46","UCHL3",8429,3.841747,0.000122161719875076,0.00726330946598248,"TRUE"
"47","FARP1",6080,3.836265,0.000124919614557762,0.00733902735526853,"TRUE"
"48","ST20",14748,3.829129,0.000128597589159065,0.00747147247715676,"TRUE"
"49","SCN3B",8796,3.812069,0.000137808391742863,0.0078615693043166,"TRUE"
"50","CAMKV",13434,3.805295,0.000141635280794371,0.00795471223227252,"TRUE"
"51","LRRC36",10622,3.799981,0.000144707182233922,0.00797690267212573,"TRUE"
"52","BIRC3",13640,3.775665,0.000159581346388235,0.00861425295072604,"TRUE"
"53","NTNG2",6184,3.767164,0.000165112541364418,0.00881253208061953,"TRUE"
"54","PKIA",12228,3.760871,0.000169322739410954,0.0089416518347807,"TRUE"
"55","NPTX1",3509,3.750711,0.000176333847206738,0.00918425194606074,"TRUE"
"56","GRIN3A",10109,3.745061,0.000180349950451081,0.00927994902157676,"TRUE"
"57","NKAIN4",8969,3.726765,0.000193953137701745,0.00975652445084337,"TRUE"
"58","PDZRN4",14387,3.721962,0.000197680777533143,0.00991236892439277,"TRUE"
"59","C1QL3",1765,3.711347,0.00020615926308069,0.0102074767207719,"TRUE"
"60","PLD6",15101,3.709474,0.000207690283075784,0.0102510454765775,"TRUE"
