"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"1","RRM2B",5121,5.996278,2.01891286189419e-09,1.05959276701747e-05,"TRUE"
"2","DMKN",11968,5.443745,5.21718920271348e-08,0.000164289287993447,"TRUE"
"3","SV2C",5059,5.38078,7.41637859015777e-08,0.000166696623235347,"TRUE"
"4","ECM1",8045,5.325886,1.00462127276746e-07,0.000166696623235347,"TRUE"
"5","STAU2",3847,5.275868,1.32129173349479e-07,0.000166696623235347,"TRUE"
"6","EFR3A",4440,5.240482,1.6015771043406e-07,0.000166696623235347,"TRUE"
"7","RHBDL3",10145,5.215516,1.83306235857556e-07,0.000169773922563366,"TRUE"
"8","ARL2BP",7018,5.065557,4.07207905124401e-07,0.000305308974580176,"TRUE"
"9","NIPAL2",6326,4.947291,7.52534337562457e-07,0.000412256505521109,"TRUE"
"10","GSTK1",1150,4.926034,8.39154022683171e-07,0.000416016504249913,"TRUE"
"11","SCN1B",10756,4.91269,8.9835256554443e-07,0.000416016504249913,"TRUE"
"12","CPLX1",13678,4.885118,1.03366929186141e-06,0.000452086750009941,"TRUE"
"13","STARD13",4045,4.824703,1.40212045291661e-06,0.000538448451979804,"TRUE"
"14","MAP3K9",13766,4.793969,1.63513552390292e-06,0.000612981162472652,"TRUE"
"15","RAD54B",3218,4.747648,2.05795791703023e-06,0.000696986195646357,"TRUE"
"16","BBS7",635,4.741175,2.1248229527485e-06,0.000696986195646357,"TRUE"
"17","GPR161",12002,4.618165,3.87148365271636e-06,0.000991043898844282,"TRUE"
"18","CHML",1782,4.592396,4.381858903346e-06,0.00102325119040144,"TRUE"
"19","MYBPHL",11600,4.590623,4.41924934565243e-06,0.00102325119040144,"TRUE"
"20","SATB1",630,4.554482,5.25148209865559e-06,0.00111735926545044,"TRUE"
"21","BCO2",11936,4.544817,5.49830021719622e-06,0.00113025632681397,"TRUE"
"22","TRAF3IP2-AS1",6290,4.543703,5.52745234453325e-06,0.00113025632681397,"TRUE"
"23","LIN28B",15514,4.48842,7.17533596116515e-06,0.0013777520086408,"TRUE"
"24","REPS1",68,4.479534,7.48061743016396e-06,0.00141251966550364,"TRUE"
"25","CFAP69",12506,4.457838,8.27904307329661e-06,0.00149907134383991,"TRUE"
"26","RORA",11569,4.45773,8.28321415776894e-06,0.00149907134383991,"TRUE"
"27","CELF2",10715,4.433529,9.27030313061563e-06,0.00155458538498863,"TRUE"
"28","SEMA7A",4521,4.417182,9.99960290141724e-06,0.00158125525130682,"TRUE"
"29","TXLNG",3652,4.416196,1.00453007019918e-05,0.00158125525130682,"TRUE"
"30","FAM20A",10572,4.415025,1.00998317541039e-05,0.00158125525130682,"TRUE"
"31","TCF7L2",10486,4.41215,1.02349163115652e-05,0.00158125525130682,"TRUE"
"32","LINC01296",4827,4.411963,1.02437621869352e-05,0.00158125525130682,"TRUE"
"33","JMY",6252,4.408062,1.04299691404129e-05,0.00159436761277476,"TRUE"
"34","VAMP1",1025,4.400078,1.0821197457514e-05,0.00163826686508229,"TRUE"
"35","MAPK10",276,4.395832,1.10349259014903e-05,0.00165471341256157,"TRUE"
"36","RALB",7671,4.382867,1.17127623534285e-05,0.00167411327146187,"TRUE"
"37","NCOA3",4940,4.377496,1.20050563662547e-05,0.00168521325651858,"TRUE"
"38","GUCA2B",8582,4.375876,1.20945759280152e-05,0.00168521325651858,"TRUE"
"39","ANKS6",9842,4.371959,1.23136652922774e-05,0.00169095993786619,"TRUE"
"40","BRAF",14996,4.371305,1.23506124391624e-05,0.00169095993786619,"TRUE"
"41","CEP63",5459,4.366697,1.26139519888437e-05,0.00171050552852409,"TRUE"
"42","PLAGL1",4712,4.346923,1.38060658919743e-05,0.00181147089557612,"TRUE"
"43","LRRC37A4P",6380,4.332533,1.47403560279832e-05,0.00188832407936895,"TRUE"
