FAM71F1, 14832, 4.708456
TENM3, 1428, 4.693780
FKBP1A, 7502, 4.598416
KCNA3, 15023, 4.548007
GNB4, 3458, 4.373418
PLPPR4, 2791, 4.364484
ECHDC3, 11756, 4.362613
IL13RA2, 1835, 4.360310
SYNPR, 6901, 4.344139
PTPRR, 12650, 4.343192
UNC5B-AS1, 15264, 4.335727
TSPAN14, 14491, 4.258898
NTSR1, 6253, 4.208896
GLOD4, 3079, 4.190864
ANKRD6, 5247, 4.181332
MAPK1, 10036, 4.136049
CNTN1, 9411, 4.119453
MMD, 10537, 4.104700
XKR4, 2899, 4.104445
SMIM29, 3538, 4.100435
NIT2, 8636, 4.089164
PBX4, 13383, 4.077829
KCTD4, 3737, 4.067567
LMO3, 3018, 4.064202
SLC17A8, 4967, 4.053062
C1S, 7857, 4.045364
CFD, 12252, 4.016248
LRRC56, 8266, 3.994069
NPPA, 11431, 3.973586
SST, 9209, 3.970202
TSPOAP1, 249, 3.961283
C5orf49, 9242, 3.957568
RIPOR2, 13517, 3.946729
BAIAP3, 8083, 3.929099
MAGEH1, 5140, 3.910359
PNMT, 7396, 3.894773
C2CD4C, 8676, 3.894681
YWHAH, 950, 3.888182
ZNF831, 12562, 3.882531
GNPTAB, 12129, 3.880591
ATOH7, 3629, 3.880547
NNAT, 4885, 3.868532
PCSK5, 3933, 3.867804
SPPL3, 15523, 3.854318
TINCR, 913, 3.850466
UCHL3, 8429, 3.841747
FARP1, 6080, 3.836265
ST20, 14748, 3.829129
SCN3B, 8796, 3.812069
CAMKV, 13434, 3.805295
LRRC36, 10622, 3.799981
BIRC3, 13640, 3.775665
NTNG2, 6184, 3.767164
PKIA, 12228, 3.760871
NPTX1, 3509, 3.750711
GRIN3A, 10109, 3.745061
NKAIN4, 8969, 3.726765
PDZRN4, 14387, 3.721962
C1QL3, 1765, 3.711347
PLD6, 15101, 3.709474
DOCK7, 2849, 3.698667
GPR160, 3973, 3.697960
CPNE6, 5554, 3.690071
PSMB1, 394, 3.686808
CXorf57, 10266, 3.680920
CNTN3, 701, 3.678121
PPM1M, 5139, 3.656770
SVOP, 12501, 3.647550
NPY, 2104, 3.642149
ADRB2, 10308, 3.638617
NPY1R, 4638, 3.636114
RNASEH2A, 12693, 3.633097
SLA, 14545, 3.622501
OPHN1, 4201, 3.603604
BRINP3, 5986, 3.601404
YWHAZ, 13924, 3.601185
ZNF706, 5882, 3.598824
NECAB2, 13690, 3.594008
HBG1, 1419, 3.579410
SNX7, 11934, 3.575013
MARCH1, 9086, 3.574998
RASL11B, 12649, 3.573064
IPO5P1, 12184, 3.563045
TP53I11, 4557, 3.559818
SULF2, 6151, 3.559588
SUSD1, 6423, 3.558586
MOB1B, 4906, 3.557223
CNRIP1, 14066, 3.555001
LOC441052, 12344, 3.549147
HEBP1, 8348, 3.542359
LARGE1, 13174, 3.530043
MEDAG, 6114, 3.528338
HTR7, 11520, 3.514696
LOXL1, 2320, 3.513816
CAMK2D, 3055, 3.510186
MAPK1IP1L, 8226, 3.504855
HMGN2, 2612, 3.500857
GABRA5, 2070, 3.485798
EPHA5, 15437, 3.480465
FUOM, 14136, 3.477025
FNBP1L, 9717, 3.474998
LYRM9, 1521, 3.470589
PPP4R4, 14236, 3.470445
TNNT1, 9201, 3.463631
TUBB2A, 4407, 3.458623
NPNT, 6164, 3.458592
DOK6, 12218, 3.457870
MKL2, 1252, 3.457183
GABRE, 187, 3.451385
C6orf89, 3689, 3.447995
CENPVL3, 1329, 3.446014
SUB1, 15427, 3.439754
NEK2, 9777, 3.430568
ATP2B4, 278, 3.426132
CXADRP3, 7234, 3.424092
CKS1B, 13006, 3.422821
TMEM130, 3255, 3.422498
FAM117A, 8418, 3.420958
GSG1L, 3010, 3.414639
TMEM233, 9878, 3.410503
ERMARD, 3602, 3.405980
HCST, 13065, 3.401307
STMN1, 4434, 3.398699
PTGER3, 5358, 3.394104
PLPPR2, 7668, 3.389367
MCUB, 9615, 3.389308
MCTP1, 11027, 3.387077
TLL1, 3630, 3.385707
LRRC3B, 3659, 3.380322
PCED1B, 11057, 3.379687
LTBP4, 10074, 3.375785
C1QA, 4497, 3.370235
STX12, 11859, 3.367202
ANXA1, 8690, 3.364892
ADTRP, 7503, 3.355032
FAM102B, 41, 3.352487
NFIB, 3487, 3.350780
SLC7A4, 10175, 3.350738
SNHG8, 1469, 3.343909
DYNLL1, 10249, 3.333454
ICAM5, 10295, 3.331183
UFM1, 3426, 3.328424
CPLX3, 10369, 3.322451
IL1B, 10429, 3.320545
HK2, 5476, 3.319467
WSB2, 14525, 3.314351
TMEM106C, 4073, 3.304797
DDX54, 13738, 3.302836
PCDH20, 9877, 3.301012
NWD2, 12849, 3.300426
GNG10, 11677, 3.296976
TUSC3, 11483, 3.296451
TCAP, 457, 3.294366
SIDT2, 2872, 3.288702
TRIM27, 11903, 3.283955
RNF150, 333, 3.279332
ARHGAP6, 10442, 3.276989
GPD2, 1615, 3.273134
SSTR1, 9156, 3.269915
LSM3, 15011, 3.267930
STUM, 8113, 3.266256
AIF1, 5865, 3.264915
CELF4, 15041, 3.263782
PTCHD1, 4511, 3.260121
HTR2C, 6262, 3.258577
CYP26A1, 12509, 3.256274
SNRNP27, 11002, 3.255941
CENPW, 3529, 3.251124
SND1, 13859, 3.249108
PGM2L1, 10781, 3.249021
LOC93622, 10261, 3.243300
TUBB, 9638, 3.241781
BCL2A1, 14016, 3.241014
RAPGEF4, 8197, 3.235619
PDE2A, 15718, 3.235142
ACSL4, 2080, 3.224136
MARCKS, 8717, 3.217222
SUMO3, 573, 3.215485
UBQLN2, 13752, 3.211938
LINC02223, 10270, 3.203263
VASN, 3087, 3.202972
SORBS2, 5061, 3.200731
DNAH2, 13358, 3.195561
CASK, 7844, 3.195385
PDGFC, 3570, 3.195250
GRM1, 4542, 3.189199
FREM3, 2108, 3.189067
C1orf226, 9928, 3.184134
TMEM263, 14367, 3.183034
ABCB6, 114, 3.182996
LRPAP1, 14529, 3.178301
SMAD1, 2615, 3.177953
LOC105374952, 15234, 3.177753
TRIM22, 6043, 3.172196
TMEM132A, 14149, 3.170440
PSME2, 14798, 3.169140
RBM8A, 7016, 3.162651
UCHL1, 15359, 3.160067
ERLIN1, 1984, 3.157177
BSPRY, 9354, 3.156541
CHRM3, 14210, 3.156319
ELL3, 3972, 3.155065
