EnsemblID,Symbol,baseMean,log2FoldChange,FoldChange,StandardError,WaldStatistic,p-value,BHFDR_p-value
ENSG00000173110.6,HSPA6,1306.723881,1.831929223,3.560128273,0.238948052,7.666642215,1.77E-14,3.10E-10
ENSG00000123689.5,G0S2,130.1567928,1.506402151,2.841006536,0.221366466,6.805015118,1.01E-11,8.88E-08
ENSG00000204389.7,HSPA1A,10801.71722,1.492568598,2.813895199,0.226555976,6.588078701,4.46E-11,0.000000261
ENSG00000106211.8,HSPB1,9679.15527,1.296489677,2.456304941,0.206142918,6.289275866,3.19E-10,0.0000014
ENSG00000152049.5,KCNE4,280.9851735,1.309399786,2.478384088,0.215355306,6.080183544,1.20E-09,0.00000363
ENSG00000137731.8,FXYD2,8.746806964,0.97984875,1.97225863,0.161285364,6.075249009,1.24E-09,0.00000363
ENSG00000111181.8,SLC6A12,1056.929526,0.74549391,1.676548141,0.125519132,5.939285089,2.86E-09,0.0000065
ENSG00000204388.5,HSPA1B,8858.491555,1.285557357,2.437762127,0.216649966,5.933799012,2.96E-09,0.0000065
ENSG00000149257.9,SERPINH1,1139.773921,1.291633976,2.448051614,0.219355058,5.888325471,3.90E-09,0.00000762
ENSG00000132002.3,DNAJB1,7273.983165,1.211366608,2.315568776,0.207774498,5.830198686,5.54E-09,0.00000973
ENSG00000042062.7,FAM65C,202.2286643,1.010478951,2.014579797,0.173971252,5.808309946,6.31E-09,0.0000101
ENSG00000168209.4,DDIT4,1825.438543,1.0086975,2.012093713,0.17851885,5.650369682,0.000000016,0.0000235
ENSG00000072682.13,P4HA2,473.1563289,0.700144236,1.624667213,0.124402571,5.628052773,1.82E-08,0.0000246
ENSG00000180198.11,RCC1,212.1045586,0.739339474,1.669411338,0.133217304,5.549875673,2.86E-08,0.0000359
ENSG00000188425.2,NANOS2,7.643532656,1.286197724,2.438844414,0.237280398,5.420581454,5.94E-08,0.0000696
ENSG00000116096.5,SPR,448.628938,0.813681365,1.757690874,0.153136517,5.313437842,0.000000108,0.000108737
ENSG00000187796.9,CARD9,252.4734535,0.693538705,1.617245508,0.130562138,5.311943558,0.000000108,0.000108737
ENSG00000173991.5,TCAP,319.0259325,0.879489518,1.839724219,0.165716938,5.307179405,0.000000111,0.000108737
ENSG00000086570.8,FAT2,709.7219603,-1.230212777,0.426254575,0.235039377,-5.234070966,0.000000166,0.000153424
ENSG00000145863.6,GABRA6,168.3777559,-1.227237228,0.427134629,0.236846583,-5.181570335,0.00000022,0.000189383
ENSG00000008086.6,CDKL5,98.17711732,-1.147548757,0.451391527,0.221689178,-5.176385992,0.000000226,0.000189383
ENSG00000105655.12,ISYNA1,818.8521821,0.666774157,1.587519328,0.129503677,5.148689002,0.000000262,0.000209612
ENSG00000180182.5,MED14,938.1111559,-0.419507759,0.747679686,0.081923488,-5.120726275,0.000000304,0.000232638
ENSG00000183615.5,FAM167B,61.34393921,0.979499157,1.971780771,0.191803943,5.106772786,0.000000328,0.000240046
ENSG00000149451.13,ADAM33,748.5901243,0.840856962,1.791113749,0.166464783,5.051260374,0.000000439,0.000306534
ENSG00000243927.1,MRPS6,1203.270879,0.774384,1.710459566,0.153493138,5.045072427,0.000000453,0.000306534
ENSG00000021488.8,SLC7A9,60.08436377,0.939487768,1.917847182,0.186632047,5.033903786,0.000000481,0.000312918
ENSG00000185955.4,C7orf61,139.8335213,1.067749305,2.096160673,0.212481102,5.025149501,0.000000503,0.000315838
ENSG00000151929.5,BAG3,2287.218527,1.029469754,2.041273866,0.206426825,4.987092913,0.000000613,0.000371572
ENSG00000089050.10,RBBP9,409.5294083,-0.336339631,0.792048329,0.067998111,-4.946308466,0.000000756,0.000443216
ENSG00000181016.5,LSMEM1,170.3028319,0.809419224,1.752505806,0.163882422,4.939024044,0.000000785,0.000445253
ENSG00000185022.7,MAFF,498.7944653,0.957856463,1.942421726,0.194620196,4.921670427,0.000000858,0.000471411
ENSG00000100985.7,MMP9,10.41579142,1.158916065,2.232896011,0.236294773,4.904535346,0.000000936,0.000489522
ENSG00000188511.8,C22orf34,45.75970308,0.820609663,1.766152186,0.167389484,4.90239676,0.000000947,0.000489522
ENSG00000164850.10,GPER1,353.6299921,0.676169835,1.597891927,0.138855341,4.869599036,0.00000112,0.000561681
ENSG00000015520.10,NPC1L1,28.69070325,1.139814468,2.203526838,0.234758668,4.855260419,0.0000012,0.000574812
ENSG00000070495.10,JMJD6,1203.544576,0.66442401,1.584935367,0.136880963,4.854027887,0.00000121,0.000574812
ENSG00000124593.10,PRICKLE4,593.8319918,0.547945578,1.462002297,0.114409479,4.789337232,0.00000167,0.000774136
ENSG00000050438.12,SLC4A8,672.995813,-0.660308064,0.63274317,0.138814411,-4.75676885,0.00000197,0.000886736
ENSG00000140044.8,JDP2,911.1880742,0.562866013,1.477200866,0.118572211,4.747031445,0.00000206,0.000907233
ENSG00000056736.5,IL17RB,1304.064133,0.653887164,1.573401827,0.138623047,4.717016248,0.00000239,0.001019544
ENSG00000196900.4,TEX43,3.397113259,1.076655632,2.109141127,0.228581269,4.710165613,0.00000248,0.001019544
ENSG00000168404.8,MLKL,229.9465081,0.90269413,1.869553984,0.191710209,4.708638803,0.00000249,0.001019544
ENSG00000166359.6,WDR88,32.90110393,-0.672597365,0.627376169,0.143523368,-4.686326509,0.00000278,0.001111345
ENSG00000132130.7,LHX1,44.08294355,-1.065873281,0.477683424,0.228346319,-4.667792698,0.00000304,0.001189396
ENSG00000163221.7,S100A12,18.3528777,1.095097112,2.136274609,0.235500906,4.650076002,0.00000332,0.001242003
ENSG00000254806.1,SYS1-DBNDD2,58.05257787,-0.635337788,0.643790062,0.136633854,-4.649929502,0.00000332,0.001242003
ENSG00000135736.5,CCDC102A,77.85688717,0.750459596,1.68232868,0.16278533,4.610118091,0.00000402,0.001396851
ENSG00000151466.7,SCLT1,264.1852938,-0.465776402,0.7240813,0.101100725,-4.60705302,0.00000408,0.001396851
ENSG00000142627.9,EPHA2,159.094151,0.807054149,1.749635198,0.175194546,4.606616863,0.00000409,0.001396851
ENSG00000138411.5,HECW2,382.7379799,-0.624684134,0.648561759,0.13565011,-4.60511335,0.00000412,0.001396851
ENSG00000168003.12,SLC3A2,3803.564925,0.460131501,1.375667204,0.099927742,4.604642233,0.00000413,0.001396851
ENSG00000171206.8,TRIM8,3755.048275,0.371137619,1.293372301,0.080935607,4.585591327,0.00000453,0.001501608
ENSG00000169228.9,RAB24,754.0681047,0.414558357,1.332890585,0.090709126,4.570194566,0.00000487,0.001580006
ENSG00000268404.1,AL138781.1,20.65762625,0.840422629,1.790574604,0.184013196,4.567186734,0.00000494,0.001580006
ENSG00000008130.11,NADK,1557.051017,0.256935022,1.194937385,0.05644081,4.552291559,0.00000531,0.001665853
ENSG00000187266.9,EPOR,375.0844439,0.513668779,1.427676169,0.1131778,4.538600128,0.00000566,0.001724954
ENSG00000101187.11,SLCO4A1,1368.142627,0.926723126,1.900953347,0.204268477,4.536789712,0.00000571,0.001724954
ENSG00000178602.3,OTOS,66.58117726,0.89949851,1.86541744,0.198391836,4.533949218,0.00000579,0.001724954
ENSG00000173530.5,TNFRSF10D,159.4663201,0.950804751,1.932950577,0.20995419,4.528629553,0.00000594,0.001739467
ENSG00000183963.13,SMTN,1152.418786,0.827463792,1.774562998,0.183183807,4.51712303,0.00000627,0.001787495
ENSG00000196597.7,ZNF782,119.3567095,-0.50361401,0.705337666,0.111662973,-4.510125406,0.00000648,0.001787495
ENSG00000174948.5,GPR149,8.096780542,-1.076434075,0.47419946,0.238690658,-4.509745318,0.00000649,0.001787495
ENSG00000131373.10,HACL1,366.0114703,-0.422552918,0.74610319,0.093709149,-4.509196004,0.00000651,0.001787495
ENSG00000198003.7,CCDC151,223.0272384,0.636427889,1.554475511,0.141337558,4.502892911,0.0000067,0.00181303
ENSG00000177464.4,GPR4,286.6327073,0.935270928,1.912249708,0.207966251,4.497224536,0.00000688,0.001833814
ENSG00000143127.8,ITGA10,334.5824004,0.773579968,1.70950657,0.17218196,4.492804993,0.00000703,0.001844356
ENSG00000175054.10,ATR,674.9826416,-0.355744759,0.781466125,0.079412132,-4.479728117,0.00000747,0.001932202
ENSG00000261857.2,MIA,5.079123175,1.06454688,2.091512877,0.238109332,4.470832248,0.00000779,0.001985159
ENSG00000083444.12,PLOD1,1642.764001,0.524074984,1.438011272,0.117721943,4.451803704,0.00000852,0.002138531
ENSG00000198417.5,MT1F,996.4196045,0.820785215,1.766367111,0.185116419,4.433886629,0.00000925,0.002291573
ENSG00000095002.8,MSH2,927.5587118,-0.311085824,0.80603488,0.07030731,-4.424658324,0.00000966,0.002358529
ENSG00000144306.9,SCRN3,752.8260563,-0.38104091,0.76788336,0.086238134,-4.418473484,0.00000994,0.002364744
ENSG00000077150.13,NFKB2,362.1716922,0.708688704,1.634317976,0.1604032,4.418170621,0.00000995,0.002364744
ENSG00000198580.6,AC073343.1,57.89278206,-0.68865614,0.620431508,0.156467458,-4.401273894,0.0000108,0.002491659
ENSG00000130856.11,ZNF236,599.5401531,-0.311596648,0.805749533,0.070808243,-4.400570243,0.0000108,0.002491659
ENSG00000125733.13,TRIP10,471.5498792,0.689276822,1.612475032,0.1568013,4.395861654,0.000011,0.002491659
ENSG00000110887.3,DAO,38.02072586,-1.049665323,0.483080217,0.238808095,-4.395434424,0.0000111,0.002491659
ENSG00000083097.10,DOPEY1,1643.005208,-0.42032768,0.747254881,0.096006797,-4.378103347,0.000012,0.002600244
ENSG00000214530.2,STARD10,1165.917964,0.499306743,1.413534155,0.114086988,4.376544172,0.0000121,0.002600244
ENSG00000198743.5,SLC5A3,1174.185036,0.688967269,1.612129088,0.157435944,4.376175176,0.0000121,0.002600244
ENSG00000187922.9,LCN10,18.14327126,0.968420822,1.956697616,0.221339971,4.375264073,0.0000121,0.002600244
ENSG00000124440.11,HIF3A,2045.808445,0.823152451,1.769267821,0.188350404,4.370324846,0.0000124,0.002613047
ENSG00000147174.7,ACRC,232.8645091,0.648250019,1.567265958,0.148430301,4.367369843,0.0000126,0.002613047
ENSG00000168005.4,C11orf84,707.4819749,0.498739003,1.412978,0.114286572,4.363933531,0.0000128,0.002613047
ENSG00000034533.7,ASTE1,234.1885382,-0.338241917,0.791004651,0.077511042,-4.36379007,0.0000128,0.002613047
ENSG00000178694.4,NSUN3,181.3648946,-0.415032166,0.750002773,0.095185738,-4.360234762,0.000013,0.002619848
ENSG00000177234.5,C10orf85,118.2375217,0.78921919,1.728138912,0.181133231,4.357119803,0.0000132,0.002619848
ENSG00000088836.7,SLC4A11,153.9047581,0.645769576,1.564573653,0.148293815,4.354662896,0.0000133,0.002619848
ENSG00000131097.2,HIGD1B,255.2234578,0.707769306,1.633276793,0.162583378,4.35326979,0.0000134,0.002619848
ENSG00000129437.5,KLK14,66.69959652,0.733521352,1.662692468,0.168703737,4.347985192,0.0000137,0.002646215
ENSG00000172748.7,ZNF596,207.5400247,-0.554553884,0.680867566,0.127593531,-4.346253934,0.0000138,0.002646215
ENSG00000163257.6,DCAF16,885.6758302,-0.505566334,0.704383815,0.116669699,-4.333313108,0.0000147,0.002773399
ENSG00000173039.14,RELA,1561.575408,0.540545035,1.454521917,0.124823592,4.330471737,0.0000149,0.002773399
ENSG00000181195.6,PENK,288.5563758,-1.034272136,0.488262155,0.238923829,-4.328878117,0.000015,0.002773399
ENSG00000156968.7,MPV17L,100.8008885,-0.554717838,0.680790194,0.128296839,-4.3237062,0.0000153,0.002800622
ENSG00000175832.8,ETV4,64.53496006,0.931020428,1.906624087,0.215415847,4.321968148,0.0000155,0.002800622
ENSG00000141449.9,GREB1L,36.03617263,-0.856030801,0.552470447,0.198161241,-4.319870014,0.0000156,0.002800622
ENSG00000176046.7,NUPR1,938.5629128,0.82488721,1.771396545,0.191102618,4.316462114,0.0000159,0.002815461
ENSG00000115648.9,MLPH,47.88392624,0.982345336,1.975674581,0.227959576,4.309296216,0.0000164,0.002850371
ENSG00000196440.7,ARMCX4,1060.94712,-0.353822722,0.78250793,0.082109404,-4.30916198,0.0000164,0.002850371
ENSG00000213654.5,GPSM3,202.349703,0.636660502,1.554726167,0.147815184,4.307138704,0.0000165,0.002850371
ENSG00000197826.7,C4orf22,7.377107612,-1.030710272,0.489469113,0.239945326,-4.295604704,0.0000174,0.002958859
ENSG00000187800.9,PEAR1,245.2698588,0.703460477,1.628406039,0.16383107,4.293816054,0.0000176,0.002958859
ENSG00000157833.8,GAREML,1403.048766,0.689315316,1.612518057,0.160588382,4.292435767,0.0000177,0.002958859
ENSG00000197723.3,HSPB9,7.074953087,0.908814063,1.877501504,0.212101533,4.284806665,0.0000183,0.003014605
ENSG00000029364.7,SLC39A9,1455.903901,-0.173967412,0.886401721,0.04060772,-4.28409706,0.0000183,0.003014605
ENSG00000115657.8,ABCB6,647.2866464,0.434037499,1.3510092,0.101679246,4.268693118,0.0000197,0.003200562
ENSG00000196646.7,ZNF136,213.4758838,-0.483048143,0.715464385,0.113624484,-4.251268088,0.0000213,0.003415706
ENSG00000196724.8,ZNF418,276.7015043,-0.435160714,0.739611359,0.102389594,-4.250048238,0.0000214,0.003415706
ENSG00000126775.8,ATG14,968.381137,-0.329198335,0.795978664,0.077739049,-4.234658622,0.0000229,0.003625268
ENSG00000135824.8,RGS8,28.90143004,-0.991146301,0.503077893,0.23439463,-4.228536725,0.0000235,0.003670285
ENSG00000121966.6,CXCR4,264.8461163,0.834326301,1.783024222,0.197339765,4.227867102,0.0000236,0.003670285
