Ctx_PD_up,Ctx_PD_dn,Str_PD_up,Str_PD_dn,SN_PD_up,SN_PD_dn,Ctx_DLB_up,Ctx_DLB_dn
DDX3Y,SLC47A2,AKT3,CDH5,ADA,TANK,ADA,CDKN2B-AS
USP9Y,HLA-DRB5,NAALAD2,C21orf37,LOC100128288,TIMM23,LOC100009676,HECW1-IT1
UTY,C11orf88,LOC100128252,USH1C,LOC100130503,RANBP9,LOC100049716,TSTD1
SELE,C9orf117,ZNF605,PPIF,FRAT1,LOC100499177,SRA1,ARMCX4
KDM5D,PZP,DNAJB6,SGK2,ZNF605,C21orf37,LOC100128252,PDCD6
PLAC8,HLA-DRB1,CDH7,CDH13,ZNF783,LOC100506965,LOC100128288,CDH5
SLC17A8,CCL3,LOC100506965,NAMPT,SAP25,FARSB,LOC100128977,PARP2
RPS4Y1,SPAG6,LOC100507433,SLC25A13,DNAJB6,DNM1L,LOC100129196,CDH6
TFAP2D,C13orf30,ABCC5,SORBS3,LOC100507025,CDH8,LOC100129858,TOM1L1
NLGN4Y,LOC730422,CDH8,RAMP2,HCG8,,ZNF503-AS2,SH2D3C
TXLNG2P,HSPA6,PDCD7,RAMP3,LOC100507575,LOC100652850,ZNF717,LOC100505501
EIF1AY,CLIC6,COL4A3BP,NET1,ABCC5,RWDD2B,BCL2L11,ZMYM6NB
,TEKT1,ACTR2,EFS,PP12719,USH1C,FRAT1,CDH8
CHI3L1,C9orf135,ARPC2,SAP18,SCAMP2,CDH11,LOC100287896,
SLC2A13,CAPS,RASGRP1,TUBB4A,EDIL3,UST,LOC100288637,RWDD2B
NCRNA00185,CYP4F3,SUGP2,MYL9,TSPAN5,HIPK3,ZNF605,CDH9
ATP8A2,RGS1,CDK5,TESK2,TRIM28,CDH13,DNAJB6,CDH10
SYNPR,CCL4,CDK7,C1orf61,WASF2,TXNDC9,LOC100505572,GPC6
C2orf85,C1orf87,NBR2,SEMA4D,RBM6,RCAN2,LOC100505657,USH1C
RSPO3,EFCAB1,RCAN2,SEMA3C,TSHZ1,LRRC17,LOC100506597,CDH11
ANKRD22,C11orf70,CWC27,CIB2,DDX39A,CDK8,LOC100506730,ARPC1B
OPRK1,LOC728358,SMNDC1,ANP32B,CTDSPL,GPHN,LOC100507025,ACTR2
GABRB3,KCNH8,CDO1,IFI44,NBR2,BCAS2,MICA,TSPAN2
CPNE4,ATF3,CDR2,CENPB,SPRY2,RRAGB,LOC100507575,TSPAN1
DARC,LOC400891,CEPT1,TXNIP,CDK2AP2,CDKN3,LOC100509100,ARPC2
KLK7,CYP4F12,CDS1,CFL2,RAMP1,MRVI1,SMC4,CDH13
ATXN3,FOS,GPNMB,GIPC1,FSTL3,CDO1,ZHX1-C8ORF76,FRY
SLC5A3,C15orf26,EIF3M,09-Sep,CDKN1C,CACNG3,ABCB6,NAMPT
CHRM3,LOC728830,CAP2,C1QL1,DLEU1,TUBB3,SLC25A13,TOB1
SMYD1,GPR183,CEBPG,YIF1A,CDKN2C,TUBB4B,TXNDC9,PLXNC1
IL6,CYR61,ARL6IP5,IFI44L,TCIRG1,ANAPC10,PRMT3,ATP6AP2
LSM11,TYMS,SLU7,C10orf116,HMG20B,BASP1,MPHOSPH10,CDH18
SNORD114-3,GPR128,AHSA1,RIPK3,KLF2,LYPLA1,ADAM10,LPAR6
HOOK1,C10orf79,CENPC1,CDC42EP1,CEPT1,C1D,CDK6,LPCAT3
EPHA5,DNAH12,ERLIN1,PLA2G16,CORO2B,TIMM17A,TOPORS,CDK2
CD163,EGR1,IVNS1ABP,CHI3L2,NDRG1,VAV3,OLIG2,LHFP
