Tag,Gene_Name,Gene_Symbol,PDNDvControl_FC,PDNDvControl_pval,PDDvPDND_FC,PDDvPDND_pval,PDDvControl_FC,PDDvControl_pval,Avg_PDD,Avg_PDND,Avg_Control
210371_s_at,retinoblastoma binding protein 4,RBBP4,1.197613659,0.350418514,0.356351879,0.000486656,0.426771877,0.000241296,87.54615385,245.6733333,205.1357143
200043_at,enhancer of rudimentary homolog (Drosophila),ERH,0.986834712,0.945098679,0.370958372,0.000822064,0.366074599,0.000107393,843.5692308,2274.026667,2304.364286
209567_at,RRS1 ribosome biogenesis regulator homolog (S. cerevisiae),RRS1,1.199921863,0.21534373,0.377322104,0.000312533,0.452757041,0.000261115,82.77692308,219.38,182.8285714
1558747_at,KIAA0650 protein,KIAA0650,0.99852014,0.993032167,0.392183746,1.14116E-06,0.391603369,0.002212476,163.5615385,417.0533333,417.6714286
1552430_at,WD repeat domain 17,WDR17,1.016472813,0.908620675,0.4006452,3.26833E-05,0.407244954,3.99864E-05,51.26923077,127.9666667,125.8928571
202983_at,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3",SMARCA3,1.156450701,0.33609882,0.401538325,7.77097E-06,0.464359278,0.000525669,271.8923077,677.1266667,585.5214286
200728_at,ARP2 actin-related protein 2 homolog (yeast),ACTR2,0.948665614,0.761537128,0.402128415,0.000549691,0.3814854,8.99837E-05,726.5307692,1806.713333,1904.478571
213623_at,kinesin family member 3A,KIF3A,0.88921013,0.570076286,0.404713213,0.003651045,0.359875089,8.30845E-05,205.9153846,508.7933333,572.1857143
202257_s_at,CD2 antigen (cytoplasmic tail) binding protein 2,CD2BP2,1.024935357,0.911033934,0.408240408,0.003818092,0.418420029,0.005383815,44.30769231,108.5333333,105.8928571
203762_s_at,dynein 2 light intermediate chain,D2LIC,0.850309082,0.396757906,0.416792133,0.000366144,0.354402136,0.000222484,74.53076923,178.82,210.3
235526_at,small acidic protein,SMAP,0.894095993,0.476156396,0.426390802,0.001606877,0.381234308,0.000119324,160.7692308,377.0466667,421.7071429
200596_s_at,"eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa",EIF3S10,0.85304374,0.067825236,0.426412035,3.03135E-06,0.363748117,8.0928E-10,319.6384615,749.6,878.7357143
212036_s_at,"pinin, desmosome associated protein",PNN,0.948166732,0.736758403,0.436704,2.31091E-05,0.414068205,0.000800136,278.2153846,637.08,671.9071429
209902_at,ataxia telangiectasia and Rad3 related,ATR,1.253729144,0.191459334,0.437069924,0.000919171,0.547967302,0.009885561,123.9384615,283.5666667,226.1785714
201444_s_at,"ATPase, H+ transporting, lysosomal accessory protein 2",ATP6AP2,1.274878932,0.229439001,0.440279518,0.001334912,0.561303081,0.009337645,137.7076923,312.7733333,245.3357143
226702_at,hypothetical protein LOC129607,LOC129607,0.931029175,0.662304369,0.440398825,0.000249884,0.410024155,8.34326E-05,329.8,748.8666667,804.3428571
201138_s_at,Sjogren syndrome antigen B (autoantigen La),SSB,1.176828445,0.091465913,0.44047653,3.08945E-08,0.51836531,2.10532E-05,142.6615385,323.88,275.2142857
201330_at,arginyl-tRNA synthetase,RARS,0.995119911,0.979760334,0.445113528,0.004123306,0.442941334,0.00027735,126.0769231,283.2466667,284.6357143
208891_at,dual specificity phosphatase 6,DUSP6,0.851698975,0.304105344,0.446801006,0.001201963,0.380539959,1.31989E-06,268.9384615,601.92,706.7285714
222409_at,"coronin, actin binding protein, 1C",CORO1C,0.938045864,0.650478,0.449886353,7.51815E-05,0.422014033,7.84089E-06,211.9384615,471.0933333,502.2071429
210281_s_at,zinc finger protein 198,ZNF198,1.179969183,0.342769452,0.45742192,0.001161243,0.539743769,0.002973629,55.04615385,120.34,101.9857143
202478_at,tribbles homolog 2,TRB2,0.733602573,0.054024857,0.457427472,0.001684761,0.33556997,7.99695E-07,99.11538462,216.68,295.3642857
220925_at,corneal wound healing-related protein,FLJ21613,1.046865418,0.757115935,0.459549717,5.20252E-05,0.481086707,0.000483388,198.3692308,431.66,412.3357143
209006_s_at,hypothetical protein dJ465N24.2.1,DJ465N24.2.1,0.867746821,0.456173166,0.463936611,0.007265267,0.40257952,7.86441E-05,125.3,270.08,311.2428571
241966_at,"myosin VA (heavy polypeptide 12, myoxin)",MYO5A,0.963882067,0.876835971,0.464156341,0.009853131,0.447391974,0.004815011,79.37692308,171.0133333,177.4214286
237741_at,hypothetical protein FLJ10618,FLJ10618,0.960868701,0.821420057,0.464356483,0.001760694,0.446185611,0.000171995,69.46153846,149.5866667,155.6785714
218109_s_at,hypothetical protein FLJ14153,FLJ14153,0.950174534,0.717229303,0.465379691,0.000732662,0.442191931,5.42804E-07,215.6538462,463.3933333,487.6928571
230272_at,"Homo sapiens, clone IMAGE:5295779, mRNA",---,1.167107796,0.369272097,0.474573235,0.00062869,0.553878122,0.005155625,232.2846154,489.46,419.3785714
202591_s_at,single-stranded DNA binding protein,SSBP1,0.874331639,0.473002724,0.47644782,0.004612527,0.416573403,0.000786838,186.7230769,391.9066667,448.2357143
227517_s_at,hypothetical protein LOC348531,LOC348531,0.87405227,0.27565018,0.479668871,0.000492027,0.419255665,6.03576E-05,209.5769231,436.92,499.8785714
226025_at,KIAA0379 protein,KIAA0379,0.953742312,0.81910468,0.483694197,0.001538541,0.461319622,0.004747356,236.2846154,488.5,512.1928571
225489_at,hypothetical protein DKFZp434C1714,DKFZp434C1714,1.151545838,0.419569473,0.484033634,0.001855765,0.557386917,0.003341107,121.0923077,250.1733333,217.25
225253_s_at,hypothetical protein FLJ12760,FLJ12760,1.136315142,0.359498918,0.485662804,7.28441E-05,0.551865997,0.005986538,57.63846154,118.68,104.4428571
231896_s_at,density-regulated protein,DENR,1.052302016,0.773208851,0.486152676,0.000858876,0.51157944,0.002272554,264.0846154,543.2133333,516.2142857
213208_at,KIAA0240 protein,KIAA0240,0.976391476,0.904114136,0.486936628,0.005356195,0.475440773,0.001138633,85.68461538,175.9666667,180.2214286
