"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez","FoldChange"
"ENSG00000226102",3537.89038313449,-1.80151077493898,0.352831291340611,-5.10587019675607,3.29275670105158e-07,0.00834219910211417,"DOWN","SEPTIN7P3",NA,-3.48585068840374
"ENSG00000249119",8803.41813959552,-3.19177658855888,0.690187810513206,-4.62450443189595,3.75495057374051e-06,0.047565836392858,"DOWN","MTND6P4",NA,-9.13735488176163
"ENSG00000237161",4861.40133559247,1.51866461165361,0.335770038926957,4.52293068347288,6.09892180495514e-06,0.0515053946428461,"UP","AC068446.1",NA,2.86525712700075
"ENSG00000248429",37644.4463217497,1.09709983490652,0.256732796059061,4.27331393475003,1.92589001206334e-05,0.121981058639062,"UP","FAM198B-AS1",285505,2.13924220681674
"ENSG00000151632",57363.9063386222,-1.05095462713215,0.253759929753009,-4.14153104532725,3.4499516479017e-05,0.174809049999179,"DOWN","AKR1C2",1646,-2.07190036467262
"ENSG00000248590",3821.58586178955,1.03754505052918,0.256850857870232,4.03948446632548,5.3568815437821e-05,0.226194323186199,"UP","GLDCP1",NA,2.05273166670777
"ENSG00000134294",918226.490054325,-0.801630236664875,0.201706168363073,-3.97424750651122,7.06021152087844e-05,0.251443699162008,"DOWN","SLC38A2",54407,-1.74306967234091
"ENSG00000116690",28890.2816982636,-0.992366052989392,0.251473211938674,-3.94620979840746,7.93980498636695e-05,0.251443699162008,"DOWN","PRG4",10216,-1.98944505241642
"ENSG00000135094",48452.8540670134,1.28250921047103,0.3297146833994,3.88975461222473,0.000100345638000424,0.269265964796473,"UP","SDS",10993,2.43261702601662
"ENSG00000250604",2401.35097103727,1.0097930104496,0.26098858188604,3.86910800140108,0.000109234250918034,0.269265964796473,"UP","AC098679.1",NA,2.01362217650966
"ENSG00000261302",1495.06195385653,1.1719771362424,0.30421085689286,3.85251581160747,0.000116910424817888,0.269265964796473,"UP","AC106779.1",105371286,2.2532027480691
"ENSG00000227848",2896.95998880268,-0.707703090873374,0.186719677110687,-3.79019020289891,0.000150531972365232,0.282813616636752,"DOWN","SUCLA2-AS1",NA,-1.63320183187843
"ENSG00000233029",4530.00737434007,0.967143193454259,0.256948923129784,3.76395114512995,0.000167249572590137,0.282813616636752,"UP","AC244453.2",100996318,1.95496556161615
"ENSG00000162552",11387.9467300152,-0.874841518560472,0.233397191341208,-3.74829497104583,0.000178040793614184,0.282813616636752,"DOWN","WNT4",54361,-1.83380662992023
"ENSG00000231345",2221.70676462657,-1.58106732308577,0.424561302485049,-3.72400243223169,0.000196089034711397,0.282813616636752,"DOWN","BEND3P1",NA,-2.99191113042296
"ENSG00000260088",4576.59286456993,1.23998930189512,0.333365548907367,3.71960841772428,0.000199531885101872,0.282813616636752,"UP","DDX59-AS1",101929224,2.3619678079496
"ENSG00000279694",20340.9237357944,-1.87732594912449,0.504950682828939,-3.7178402029421,0.000200933297788101,0.282813616636752,"DOWN","AC011270.2",NA,-3.67393461012271
"ENSG00000279092",4158.04459658785,2.28641256740114,0.623148600740997,3.66912894401484,0.000243378307714714,0.324525759260646,"UP","AC025678.3",NA,4.87841525692263
"ENSG00000002745",8364.93930221825,-1.67572745117059,0.461014094065693,-3.63487249683045,0.000278118149519582,0.335529681813267,"DOWN","WNT16",51384,-3.19480405773308
"ENSG00000273893",9831.84483281674,-0.608042938111511,0.16851671877531,-3.6082054203906,0.000308322331030419,0.342399829669867,"DOWN","AL133520.1",NA,-1.52419019327007
"ENSG00000166426",57996.0427172697,-1.82464014160236,0.505988190226727,-3.60609234927946,0.000310842553084939,0.342399829669867,"DOWN","CRABP1",1381,-3.54218642152579
"ENSG00000169989",5093.08271418177,0.763448023088298,0.213189336344751,3.58107978653171,0.000342177132471056,0.353615943312975,"UP","TIGD4",201798,1.69754288661801
"ENSG00000280010",7068.36737986202,-0.880842114151968,0.247075109594555,-3.56507830998198,0.000363747565117927,0.353615943312975,"DOWN","AP001350.2",NA,-1.84144985855266
"ENSG00000053702",118021.493415519,-1.03865537606379,0.292103157180568,-3.55578277923827,0.00037685535699429,0.353615943312975,"DOWN","NRIP2",83714,-2.05431209611499
"ENSG00000240801",27527.3360506941,-1.93012613547672,0.549552276155748,-3.51217931254588,0.000444448021536143,0.380815995184076,"DOWN","AC132217.1",NA,-3.8108851650159
"ENSG00000228570",9399.61738902011,-0.842853514075689,0.241254056030405,-3.49363458564802,0.00047649273917893,0.380815995184076,"DOWN","NUTM2E",283008,-1.79359419515007
"ENSG00000276980",5383.20425170412,1.57448808758481,0.451412244535155,3.48791621548979,0.000486800597469972,0.380815995184076,"UP","AC008760.2",NA,2.97829794734378
"ENSG00000175832",12875.3217873754,-1.41390763709924,0.406120694323689,-3.48149615831278,0.000498620933996622,0.380815995184076,"DOWN","ETV4",2118,-2.66457905548307
"ENSG00000277688",19413.0659679555,-0.705496487482455,0.203026957507061,-3.47489070488543,0.000511061528962249,0.380815995184076,"DOWN","AC243585.2",NA,-1.63070575753621
"ENSG00000122877",22959.888700356,2.02977698607072,0.587402158875315,3.45551502561224,0.000549242577759106,0.397573163072199,"UP","EGR2",1959,4.08341723337444
"ENSG00000248113",3157.58022055988,1.23206543021487,0.361368864363592,3.40943991504265,0.000650964156513949,0.415514988539741,"UP","AC067942.2",NA,2.34903047504793
"ENSG00000229344",360027.600896706,2.40539573037015,0.706881376413425,3.40282798589863,0.000666922542486525,0.415514988539741,"UP","MTCO2P12",NA,5.29780862797258
"ENSG00000140465",5132.5261427238,-1.51116781441655,0.444321280292895,-3.40107008473776,0.000671226165561406,0.415514988539741,"DOWN","CYP1A1",1543,-2.85040676858577
