"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez","FoldChange"
"ENSG00000173110",289631.197889997,-2.58640845881075,0.550889159885039,-4.69497068947678,2.66644954775094e-06,0.022845063202259,"DOWN","HSPA6",3310,-6.0060165852311
"ENSG00000236060",35556.3357229428,-1.40079000215077,0.305273303124506,-4.58864233397919,4.46138067539934e-06,0.022845063202259,"DOWN","HSPB1P1",NA,-2.64046131004699
"ENSG00000042062",38916.737527772,-1.12912140867808,0.250342884459425,-4.51029958816777,6.47361355101199e-06,0.022845063202259,"DOWN","RIPOR3",140876,-2.1872549736609
"ENSG00000271780",16715.3459474799,0.695190193093046,0.154526577063782,4.49883901075542,6.83255726306875e-06,0.022845063202259,"UP","AL118558.3",NA,1.61909786762209
"ENSG00000258545",3467.79338678194,2.3308006796356,0.524380320119005,4.44486680794321,8.79463359641032e-06,0.022845063202259,"UP","RHOXF1-AS1",101928969,5.03084478612038
"ENSG00000279092",4158.04459658785,-2.26041878097505,0.5087424064691,-4.4431499167985,8.86513492303972e-06,0.022845063202259,"DOWN","AC025678.3",NA,-4.79130542169138
"ENSG00000279133",4066.4429203115,0.879482132769603,0.198104278796734,4.43949084851418,9.01719486965027e-06,0.022845063202259,"UP","AC018628.1",NA,1.83971480197759
"ENSG00000072682",99328.3865985374,-0.695240190068862,0.158983479324429,-4.37303418583589,1.2253152767317e-05,0.0276829182534312,"DOWN","P4HA2",8974,-1.6191539788565
"ENSG00000187554",16453.2795381759,-0.98504505595785,0.226019731652023,-4.35822593345263,1.31120986398727e-05,0.0276829182534312,"DOWN","TLR5",7100,-1.97937512856225
"ENSG00000111181",206021.809842834,-0.665932748597745,0.154965822695282,-4.29728786009289,1.72900599751734e-05,0.0312888335336442,"DOWN","SLC6A12",6539,-1.58659372540177
"ENSG00000132002",1491406.06943312,-1.31904384431959,0.312094971142954,-4.22641812999738,2.37440604201736e-05,0.0366223985203338,"DOWN","DNAJB1",3337,-2.4950069673511
"ENSG00000228265",4011.83913305544,0.883215087583779,0.209069575166547,4.22450319172553,2.39468458188296e-05,0.0366223985203338,"UP","None",NA,1.84448120414664
"ENSG00000236548",2914.66545713181,0.931010992161117,0.220687876232489,4.21867756423702,2.45739401952112e-05,0.0366223985203338,"UP","RNF217-AS1",7955,1.90661161734854
"ENSG00000276980",5383.20425170412,-1.53847147405547,0.368544002547337,-4.17445803871917,2.98696265080466e-05,0.0392375146981235,"DOWN","AC008760.2",NA,-2.904865717473
