"","source","term_name","term_id","p_value","significant","term_size","query_size","intersection_size","precision","recall","effective_domain_size"
"1","GO:BP","bundle of His cell-Purkinje myocyte adhesion involved in cell communication","GO:0086073",0.00133722260825591,TRUE,6,55,3,0.0545454545454545,0.5,18017
"2","GO:BP","cardiac muscle cell-cardiac muscle cell adhesion","GO:0086042",0.00233507472798479,TRUE,7,55,3,0.0545454545454545,0.428571428571429,18017
"3","GO:BP","cornification","GO:0070268",0.00267033748593227,TRUE,112,30,5,0.166666666666667,0.0446428571428571,18017
"4","GO:BP","desmosome organization","GO:0002934",0.00795411063289218,TRUE,10,55,3,0.0545454545454545,0.3,18017
"5","GO:BP","keratinocyte differentiation","GO:0030216",0.00918179729925034,TRUE,306,39,7,0.179487179487179,0.0228758169934641,18017
"6","GO:BP","bundle of His cell to Purkinje myocyte communication","GO:0086069",0.023919381833218,TRUE,14,55,3,0.0545454545454545,0.214285714285714,18017
"7","GO:BP","epidermal cell differentiation","GO:0009913",0.0306679985930435,TRUE,368,39,7,0.179487179487179,0.0190217391304348,18017
"8","GO:CC","desmosome","GO:0030057",0.018679231464593,TRUE,25,55,3,0.0545454545454545,0.12,18956
"9","GO:CC","extracellular matrix","GO:0031012",0.0226127416615471,TRUE,553,317,23,0.0725552050473186,0.0415913200723327,18956
"10","GO:CC","glycoprotein complex","GO:0090665",0.0229579692101764,TRUE,19,12,2,0.166666666666667,0.105263157894737,18956
"11","GO:CC","dystrophin-associated glycoprotein complex","GO:0016010",0.0229579692101764,TRUE,19,12,2,0.166666666666667,0.105263157894737,18956
"12","GO:CC","costamere","GO:0043034",0.0229579692101764,TRUE,19,12,2,0.166666666666667,0.105263157894737,18956
"13","GO:CC","apicolateral plasma membrane","GO:0016327",0.0281741690407295,TRUE,21,12,2,0.166666666666667,0.0952380952380952,18956
"14","GO:MF","cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication","GO:0086083",0.000121778407302889,TRUE,5,55,3,0.0545454545454545,0.6,18602
"15","GO:MF","cell-cell adhesion mediator activity","GO:0098632",0.000198661671589878,TRUE,51,55,5,0.0909090909090909,0.0980392156862745,18602
"16","GO:MF","cell adhesion mediator activity","GO:0098631",0.000452662029390954,TRUE,60,55,5,0.0909090909090909,0.0833333333333333,18602
"17","GO:MF","protein binding involved in heterotypic cell-cell adhesion","GO:0086080",0.00342489492163947,TRUE,13,55,3,0.0545454545454545,0.230769230769231,18602
"18","HP","Increased level of propylene glycol in blood","HP:0410069",0.00718306512416812,TRUE,2,11,2,0.181818181818182,1,4322
"19","KEGG","Spliceosome","KEGG:03040",0.00609300678891476,TRUE,150,5,3,0.6,0.02,7963
"20","KEGG","RNA transport","KEGG:03013",0.0105038184777098,TRUE,180,5,3,0.6,0.0166666666666667,7963
"21","REAC","Formation of the cornified envelope","REAC:R-HSA-6809371",0.0117120776235831,TRUE,128,30,5,0.166666666666667,0.0390625,10627
