"","source","term_name","term_id","p_value","significant","term_size","query_size","intersection_size","precision","recall","effective_domain_size"
"1","GO:BP","bundle of His cell-Purkinje myocyte adhesion involved in cell communication","GO:0086073",0.00102863277558147,TRUE,6,55,3,0.0545454545454545,0.5,18017
"2","GO:BP","cardiac muscle cell-cardiac muscle cell adhesion","GO:0086042",0.00179621132921907,TRUE,7,55,3,0.0545454545454545,0.428571428571429,18017
"3","GO:BP","cornification","GO:0070268",0.00205410575840944,TRUE,112,30,5,0.166666666666667,0.0446428571428571,18017
"4","GO:BP","desmosome organization","GO:0002934",0.00611854664068629,TRUE,10,55,3,0.0545454545454545,0.3,18017
"5","GO:BP","keratinocyte differentiation","GO:0030216",0.00706292099942334,TRUE,306,39,7,0.179487179487179,0.0228758169934641,18017
"6","GO:BP","bundle of His cell to Purkinje myocyte communication","GO:0086069",0.0183995244870908,TRUE,14,55,3,0.0545454545454545,0.214285714285714,18017
"7","GO:BP","epidermal cell differentiation","GO:0009913",0.023590768148495,TRUE,368,39,7,0.179487179487179,0.0190217391304348,18017
"8","GO:BP","hepatocyte apoptotic process","GO:0097284",0.0428692358051482,TRUE,12,11,2,0.181818181818182,0.166666666666667,18017
"9","GO:BP","regulation of ventricular cardiac muscle cell action potential","GO:0098911",0.0484539150375975,TRUE,19,55,3,0.0545454545454545,0.157894736842105,18017
"10","GO:BP","ventricular cardiac muscle tissue development","GO:0003229",0.0487877564104461,TRUE,55,56,4,0.0714285714285714,0.0727272727272727,18017
"11","GO:CC","desmosome","GO:0030057",0.0180168473701039,TRUE,25,55,3,0.0545454545454545,0.12,18956
"12","GO:CC","costamere","GO:0043034",0.0221438568268369,TRUE,19,12,2,0.166666666666667,0.105263157894737,18956
"13","GO:CC","dystrophin-associated glycoprotein complex","GO:0016010",0.0221438568268369,TRUE,19,12,2,0.166666666666667,0.105263157894737,18956
"14","GO:CC","glycoprotein complex","GO:0090665",0.0221438568268369,TRUE,19,12,2,0.166666666666667,0.105263157894737,18956
"15","GO:CC","apicolateral plasma membrane","GO:0016327",0.027175085032193,TRUE,21,12,2,0.166666666666667,0.0952380952380952,18956
"16","GO:MF","cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication","GO:0086083",0.000118231463400863,TRUE,5,55,3,0.0545454545454545,0.6,18602
"17","GO:MF","cell-cell adhesion mediator activity","GO:0098632",0.000192875409310562,TRUE,51,55,5,0.0909090909090909,0.0980392156862745,18602
"18","GO:MF","cell adhesion mediator activity","GO:0098631",0.000439477698437819,TRUE,60,55,5,0.0909090909090909,0.0833333333333333,18602
"19","GO:MF","protein binding involved in heterotypic cell-cell adhesion","GO:0086080",0.00332514070062085,TRUE,13,55,3,0.0545454545454545,0.230769230769231,18602
"20","HP","Increased level of propylene glycol in blood","HP:0410069",0.00626607808704027,TRUE,2,11,2,0.181818181818182,1,4322
"21","KEGG","Spliceosome","KEGG:03040",0.00510679895929875,TRUE,150,5,3,0.6,0.02,7963
"22","KEGG","RNA transport","KEGG:03013",0.00880368119205485,TRUE,180,5,3,0.6,0.0166666666666667,7963
"23","REAC","Formation of the cornified envelope","REAC:R-HSA-6809371",0.00964524039589194,TRUE,128,30,5,0.166666666666667,0.0390625,10627
