"","source","term_name","term_id","p_value","significant","term_size","query_size","intersection_size","precision","recall","effective_domain_size"
"1","GO:BP","cell activation","GO:0001775",1.00178531660713e-10,TRUE,1497,790,129,0.163291139240506,0.0861723446893788,18017
"2","GO:BP","leukocyte activation","GO:0045321",2.6206673263092e-10,TRUE,1335,790,118,0.149367088607595,0.0883895131086142,18017
"3","GO:BP","leukocyte activation involved in immune response","GO:0002366",1.01034287462804e-09,TRUE,715,767,75,0.0977835723598435,0.104895104895105,18017
"4","GO:BP","cell activation involved in immune response","GO:0002263",1.33918501605096e-09,TRUE,719,767,75,0.0977835723598435,0.104311543810848,18017
"5","GO:BP","myeloid leukocyte activation","GO:0002274",9.8059357075894e-09,TRUE,668,722,67,0.092797783933518,0.100299401197605,18017
"6","GO:BP","leukocyte differentiation","GO:0002521",1.88557422171837e-08,TRUE,549,790,62,0.0784810126582278,0.112932604735883,18017
"7","GO:BP","regulation of leukocyte differentiation","GO:1902105",9.74569355457873e-08,TRUE,294,783,41,0.0523627075351213,0.139455782312925,18017
"8","GO:BP","immune effector process","GO:0002252",2.66005141612966e-07,TRUE,1309,722,101,0.1398891966759,0.0771581359816654,18017
"9","GO:BP","positive regulation of leukocyte differentiation","GO:1902107",6.56000794920706e-07,TRUE,160,894,30,0.0335570469798658,0.1875,18017
"10","GO:BP","leukocyte mediated immunity","GO:0002443",1.7422540340902e-06,TRUE,889,777,79,0.101673101673102,0.0888638920134983,18017
"11","GO:BP","myeloid cell activation involved in immune response","GO:0002275",2.53840316745051e-06,TRUE,548,722,54,0.074792243767313,0.0985401459854015,18017
"12","GO:BP","leukocyte degranulation","GO:0043299",3.44950377693296e-06,TRUE,537,722,53,0.0734072022160665,0.0986964618249535,18017
"13","GO:BP","lymphocyte differentiation","GO:0030098",5.79408216251069e-06,TRUE,376,783,44,0.0561941251596424,0.117021276595745,18017
"14","GO:BP","regulation of lymphocyte proliferation","GO:0050670",8.07789866478967e-06,TRUE,228,994,37,0.0372233400402414,0.162280701754386,18017
"15","GO:BP","regulation of leukocyte proliferation","GO:0070663",8.61360315037058e-06,TRUE,249,994,39,0.0392354124748491,0.156626506024096,18017
"16","GO:BP","leukocyte proliferation","GO:0070661",9.72463550797315e-06,TRUE,323,763,39,0.0511140235910878,0.120743034055728,18017
"17","GO:BP","regulation of mononuclear cell proliferation","GO:0032944",1.03218354175003e-05,TRUE,230,994,37,0.0372233400402414,0.160869565217391,18017
"18","GO:BP","myeloid leukocyte mediated immunity","GO:0002444",1.09415096294392e-05,TRUE,555,722,53,0.0734072022160665,0.0954954954954955,18017
"19","GO:BP","alpha-beta T cell activation","GO:0046631",1.50273039223474e-05,TRUE,149,783,25,0.0319284802043423,0.167785234899329,18017
"20","GO:BP","neutrophil activation","GO:0042119",1.69640942812257e-05,TRUE,500,720,49,0.0680555555555555,0.098,18017
"21","GO:BP","neutrophil activation involved in immune response","GO:0002283",1.93028984590814e-05,TRUE,487,766,50,0.0652741514360313,0.102669404517454,18017
"22","GO:BP","positive regulation of hemopoiesis","GO:1903708",1.98661418420659e-05,TRUE,205,894,32,0.0357941834451902,0.15609756097561,18017
"23","GO:BP","positive regulation of lymphocyte differentiation","GO:0045621",2.04700702660294e-05,TRUE,106,889,22,0.0247469066366704,0.207547169811321,18017
"24","GO:BP","granulocyte activation","GO:0036230",2.4989288814879e-05,TRUE,506,720,49,0.0680555555555555,0.0968379446640316,18017
"25","GO:BP","regulation of cell activation","GO:0050865",2.53712525513157e-05,TRUE,664,1066,77,0.0722326454033771,0.115963855421687,18017
"26","GO:BP","positive regulation of cytokine production","GO:0001819",3.66827018478943e-05,TRUE,481,767,49,0.0638852672750978,0.101871101871102,18017
"27","GO:BP","neutrophil degranulation","GO:0043312",4.29702273171811e-05,TRUE,484,766,49,0.0639686684073107,0.101239669421488,18017
"28","GO:BP","immune system development","GO:0002520",4.5111021263728e-05,TRUE,1040,790,85,0.107594936708861,0.0817307692307692,18017
"29","GO:BP","T cell activation","GO:0042110",5.47506797103982e-05,TRUE,492,783,50,0.0638569604086845,0.101626016260163,18017
"30","GO:BP","regulation of leukocyte activation","GO:0002694",6.85850568385853e-05,TRUE,619,1066,72,0.0675422138836773,0.116316639741519,18017
"31","GO:BP","lymphocyte activation","GO:0046649",6.86319705611209e-05,TRUE,776,783,68,0.086845466155811,0.0876288659793814,18017
"32","GO:BP","regulation of lymphocyte differentiation","GO:0045619",7.06622290320906e-05,TRUE,184,889,29,0.0326209223847019,0.157608695652174,18017
"33","GO:BP","positive regulation of immune system process","GO:0002684",7.43037915819974e-05,TRUE,1113,664,78,0.117469879518072,0.0700808625336927,18017
"34","GO:BP","hematopoietic or lymphoid organ development","GO:0048534",8.05949546390621e-05,TRUE,986,790,81,0.10253164556962,0.0821501014198783,18017
"35","GO:BP","T cell differentiation","GO:0030217",8.44937774209585e-05,TRUE,260,783,33,0.0421455938697318,0.126923076923077,18017
"36","GO:BP","regulation of cytokine production","GO:0001817",8.75362198227517e-05,TRUE,832,781,71,0.0909090909090909,0.0853365384615385,18017
"37","GO:BP","lymphocyte proliferation","GO:0046651",8.80519234394463e-05,TRUE,294,763,35,0.0458715596330275,0.119047619047619,18017
"38","GO:BP","regulation of alpha-beta T cell activation","GO:0046634",9.09821739282386e-05,TRUE,98,783,19,0.0242656449553001,0.193877551020408,18017
"39","GO:BP","CD4-positive, alpha-beta T cell activation","GO:0035710",9.24260317205846e-05,TRUE,100,767,19,0.0247718383311604,0.19,18017
"40","GO:BP","neutrophil mediated immunity","GO:0002446",0.000106169947004097,TRUE,498,766,49,0.0639686684073107,0.0983935742971888,18017
"41","GO:BP","mononuclear cell proliferation","GO:0032943",0.000113825797066341,TRUE,297,763,35,0.0458715596330275,0.117845117845118,18017
"42","GO:BP","hemopoiesis","GO:0030097",0.000126811346266213,TRUE,946,790,78,0.0987341772151899,0.0824524312896406,18017
"43","GO:BP","positive regulation of alpha-beta T cell activation","GO:0046635",0.000141750309646149,TRUE,63,783,15,0.0191570881226054,0.238095238095238,18017
"44","GO:BP","cytokine production","GO:0001816",0.000148984272914744,TRUE,910,781,75,0.0960307298335467,0.0824175824175824,18017
"45","GO:BP","macrophage activation","GO:0042116",0.000163623751282377,TRUE,108,1066,23,0.0215759849906191,0.212962962962963,18017
"46","GO:BP","positive regulation of T cell differentiation","GO:0045582",0.000213330673927953,TRUE,93,783,18,0.0229885057471264,0.193548387096774,18017
"47","GO:BP","synapse pruning","GO:0098883",0.00033401024833144,TRUE,8,345,5,0.0144927536231884,0.625,18017
"48","GO:BP","negative regulation of lymphocyte activation","GO:0051250",0.000394489714709348,TRUE,158,748,23,0.0307486631016043,0.145569620253165,18017
"49","GO:BP","cellular response to cytokine stimulus","GO:0071345",0.000409724108536401,TRUE,1143,1072,111,0.103544776119403,0.0971128608923885,18017
"50","GO:BP","alpha-beta T cell differentiation","GO:0046632",0.000460215987371939,TRUE,108,783,19,0.0242656449553001,0.175925925925926,18017
"51","GO:BP","CD4-positive, alpha-beta T cell differentiation","GO:0043367",0.000523872674503918,TRUE,80,767,16,0.0208604954367666,0.2,18017
"52","GO:BP","regulation of T cell activation","GO:0050863",0.00070868477092555,TRUE,340,783,37,0.0472541507024266,0.108823529411765,18017
"53","GO:BP","interferon-gamma production","GO:0032609",0.00074935877388168,TRUE,120,955,22,0.0230366492146597,0.183333333333333,18017
"54","GO:BP","response to cytokine","GO:0034097",0.000773562404875992,TRUE,1238,1072,117,0.109141791044776,0.0945072697899838,18017
"55","GO:BP","inflammatory response","GO:0006954",0.000798795185421407,TRUE,814,894,74,0.0827740492170022,0.0909090909090909,18017
"56","GO:BP","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","GO:0002460",0.000890816357705575,TRUE,368,668,35,0.0523952095808383,0.0951086956521739,18017
"57","GO:BP","negative regulation of leukocyte activation","GO:0002695",0.000916432723674798,TRUE,192,641,23,0.0358814352574103,0.119791666666667,18017
"58","GO:BP","regulation of immune effector process","GO:0002697",0.00092025250785006,TRUE,470,668,41,0.061377245508982,0.0872340425531915,18017
"59","GO:BP","negative regulation of leukocyte differentiation","GO:1902106",0.0010014386133125,TRUE,107,517,15,0.0290135396518375,0.14018691588785,18017
"60","GO:BP","regulated exocytosis","GO:0045055",0.00108964540059361,TRUE,779,722,61,0.0844875346260388,0.0783055198973042,18017
"61","GO:BP","regulation of myeloid leukocyte mediated immunity","GO:0002886",0.00113599775779731,TRUE,59,722,13,0.018005540166205,0.220338983050847,18017
"62","GO:BP","regulation of alpha-beta T cell differentiation","GO:0046637",0.00120852879196155,TRUE,64,783,14,0.0178799489144317,0.21875,18017
"63","GO:BP","mononuclear cell differentiation","GO:1903131",0.00131073385564914,TRUE,37,653,10,0.0153139356814701,0.27027027027027,18017
"64","GO:BP","monocyte differentiation","GO:0030224",0.00131073385564914,TRUE,37,653,10,0.0153139356814701,0.27027027027027,18017
"65","GO:BP","positive regulation of alpha-beta T cell differentiation","GO:0046638",0.00133962647187368,TRUE,47,783,12,0.0153256704980843,0.25531914893617,18017
"66","GO:BP","regulation of monocyte differentiation","GO:0045655",0.00145335368644181,TRUE,22,653,8,0.0122511485451761,0.363636363636364,18017
"67","GO:BP","regulation of leukocyte cell-cell adhesion","GO:1903037",0.00154260444333281,TRUE,336,994,42,0.0422535211267606,0.125,18017
"68","GO:BP","positive regulation of cell activation","GO:0050867",0.0015601698831225,TRUE,428,1065,52,0.0488262910798122,0.121495327102804,18017
"69","GO:BP","leukocyte cell-cell adhesion","GO:0007159",0.00156426739528674,TRUE,372,994,45,0.045271629778672,0.120967741935484,18017
"70","GO:BP","regulation of lymphocyte activation","GO:0051249",0.00161828124498305,TRUE,523,894,53,0.0592841163310962,0.101338432122371,18017
"71","GO:BP","regulation of interferon-gamma production","GO:0032649",0.00186354856809338,TRUE,107,955,20,0.0209424083769634,0.186915887850467,18017
"72","GO:BP","negative regulation of cell activation","GO:0050866",0.00189181981411139,TRUE,215,641,24,0.0374414976599064,0.111627906976744,18017
"73","GO:BP","regulation of immune response","GO:0050776",0.00213701459277821,TRUE,1018,668,69,0.103293413173653,0.0677799607072692,18017
"74","GO:BP","regulation of T cell differentiation","GO:0045580",0.002197262201051,TRUE,154,783,22,0.0280970625798212,0.142857142857143,18017
"75","GO:BP","regulation of immune system process","GO:0002682",0.00230419107114017,TRUE,1648,668,99,0.148203592814371,0.0600728155339806,18017
"76","GO:BP","nephron development","GO:0072006",0.00248893739525542,TRUE,146,767,21,0.0273794002607562,0.143835616438356,18017
"77","GO:BP","regulation of leukocyte mediated immunity","GO:0002703",0.00252962939891889,TRUE,207,777,26,0.0334620334620335,0.1256038647343,18017
"78","GO:BP","response to molecule of bacterial origin","GO:0002237",0.00273283378697204,TRUE,371,951,43,0.0452155625657203,0.115902964959569,18017
"79","GO:BP","regulation of CD4-positive, alpha-beta T cell activation","GO:2000514",0.00306520660281168,TRUE,64,722,13,0.018005540166205,0.203125,18017
"80","GO:BP","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","GO:0002822",0.00318504195669254,TRUE,150,959,24,0.0250260688216893,0.16,18017
"81","GO:BP","epithelial cell differentiation involved in kidney development","GO:0035850",0.00336559120851238,TRUE,48,683,11,0.0161054172767204,0.229166666666667,18017
"83","GO:BP","regulation of hemopoiesis","GO:1903706",0.00379389538433226,TRUE,502,807,47,0.0582403965303594,0.0936254980079681,18017
"84","GO:BP","immune response","GO:0006955",0.00393716191525117,TRUE,2297,679,129,0.189985272459499,0.0561602089682194,18017
"85","GO:BP","regulation of adaptive immune response","GO:0002819",0.0046809797819483,TRUE,165,763,22,0.0288335517693316,0.133333333333333,18017
"86","GO:BP","myeloid leukocyte differentiation","GO:0002573",0.00477976734661816,TRUE,214,679,24,0.0353460972017673,0.11214953271028,18017
"87","GO:BP","CD4-positive, alpha-beta T cell differentiation involved in immune response","GO:0002294",0.00496810474391578,TRUE,63,767,13,0.0169491525423729,0.206349206349206,18017
"88","GO:BP","positive regulation of leukocyte cell-cell adhesion","GO:1903039",0.00524673957531993,TRUE,240,924,31,0.0335497835497836,0.129166666666667,18017
"89","GO:BP","T-helper 1 type immune response","GO:0042088",0.00545693602525174,TRUE,43,647,10,0.0154559505409583,0.232558139534884,18017
"90","GO:BP","positive regulation of leukocyte proliferation","GO:0070665",0.00562086150367961,TRUE,157,566,18,0.0318021201413428,0.114649681528662,18017
"91","GO:BP","regulation of CD4-positive, alpha-beta T cell differentiation","GO:0043370",0.00577424428066164,TRUE,48,722,11,0.0152354570637119,0.229166666666667,18017
"92","GO:BP","MyD88-dependent toll-like receptor signaling pathway","GO:0002755",0.00597883381172325,TRUE,37,595,9,0.0151260504201681,0.243243243243243,18017
"93","GO:BP","alpha-beta T cell activation involved in immune response","GO:0002287",0.00599426109243929,TRUE,64,767,13,0.0169491525423729,0.203125,18017
"94","GO:BP","alpha-beta T cell differentiation involved in immune response","GO:0002293",0.00599426109243929,TRUE,64,767,13,0.0169491525423729,0.203125,18017
"95","GO:BP","positive regulation of lymphocyte proliferation","GO:0050671",0.00649745227026521,TRUE,143,566,17,0.0300353356890459,0.118881118881119,18017
"96","GO:BP","positive regulation of T cell activation","GO:0050870",0.00672623320206071,TRUE,219,924,29,0.0313852813852814,0.132420091324201,18017
