"","source","term_name","term_id","p_value","significant","term_size","query_size","intersection_size","precision","recall","effective_domain_size"
"1","GO:BP","leukocyte activation involved in immune response","GO:0002366",0.000223354780953417,TRUE,715,373,38,0.101876675603217,0.0531468531468531,18017
"2","GO:BP","cell activation involved in immune response","GO:0002263",0.000257568964476517,TRUE,719,373,38,0.101876675603217,0.0528511821974965,18017
"3","GO:BP","synapse pruning","GO:0098883",0.000278341873609533,TRUE,8,345,5,0.0144927536231884,0.625,18017
"4","GO:BP","neutrophil activation","GO:0042119",0.000361957778022282,TRUE,500,182,20,0.10989010989011,0.04,18017
"5","GO:BP","granulocyte activation","GO:0036230",0.000438054736379969,TRUE,506,182,20,0.10989010989011,0.0395256916996047,18017
"6","GO:BP","leukocyte mediated immunity","GO:0002443",0.000543690334662337,TRUE,889,192,28,0.145833333333333,0.031496062992126,18017
"7","GO:BP","myeloid leukocyte activation","GO:0002274",0.000592697791000165,TRUE,668,381,36,0.094488188976378,0.0538922155688623,18017
"8","GO:BP","neutrophil degranulation","GO:0043312",0.000915549387546536,TRUE,484,181,19,0.104972375690608,0.0392561983471074,18017
"9","GO:BP","neutrophil activation involved in immune response","GO:0002283",0.00100534286526371,TRUE,487,181,19,0.104972375690608,0.0390143737166324,18017
"10","GO:BP","immune effector process","GO:0002252",0.00133333879559818,TRUE,1309,379,55,0.145118733509235,0.0420168067226891,18017
"11","GO:BP","neutrophil mediated immunity","GO:0002446",0.00140780552859639,TRUE,498,181,19,0.104972375690608,0.0381526104417671,18017
"12","GO:BP","positive regulation of alpha-beta T cell activation","GO:0046635",0.00175644385121299,TRUE,63,386,10,0.0259067357512953,0.158730158730159,18017
"13","GO:BP","leukocyte activation","GO:0045321",0.0019876478834578,TRUE,1335,386,56,0.145077720207254,0.0419475655430712,18017
"14","GO:BP","regulation of alpha-beta T cell differentiation","GO:0046637",0.00204245366786083,TRUE,64,386,10,0.0259067357512953,0.15625,18017
"15","GO:BP","regulation of alpha-beta T cell activation","GO:0046634",0.00254175073660918,TRUE,98,386,12,0.0310880829015544,0.122448979591837,18017
"16","GO:BP","leukocyte degranulation","GO:0043299",0.00258696028343002,TRUE,537,209,21,0.100478468899522,0.0391061452513966,18017
"17","GO:BP","regulation of leukocyte differentiation","GO:1902105",0.00332773727182282,TRUE,294,386,21,0.0544041450777202,0.0714285714285714,18017
