"","source","term_name","term_id","p_value","significant","term_size","query_size","intersection_size","precision","recall","effective_domain_size"
"1","GO:BP","MyD88-dependent toll-like receptor signaling pathway","GO:0002755",0.00278973316327481,TRUE,37,283,7,0.0247349823321555,0.189189189189189,18017
"2","GO:BP","detection of bacterial lipopeptide","GO:0070340",0.00477215853868763,TRUE,3,248,3,0.0120967741935484,1,18017
"3","GO:BP","detection of bacterial lipoprotein","GO:0042494",0.0467533019381108,TRUE,5,248,3,0.0120967741935484,0.6,18017
"4","GO:BP","positive regulation of pattern recognition receptor signaling pathway","GO:0062208",0.0486755127251963,TRUE,38,284,6,0.0211267605633803,0.157894736842105,18017
"5","GO:CC","Toll-like receptor 1-Toll-like receptor 2 protein complex","GO:0035354",0.0411621153353009,TRUE,2,204,2,0.00980392156862745,1,18956
"6","GO:MF","NAD+ nucleosidase activity","GO:0003953",0.0453983716430993,TRUE,16,283,4,0.0141342756183746,0.25,18602
"7","GO:MF","NAD(P)+ nucleosidase activity","GO:0050135",0.0453983716430993,TRUE,16,283,4,0.0141342756183746,0.25,18602
"8","GO:MF","NAD+ nucleotidase, cyclic ADP-ribose generating","GO:0061809",0.0453983716430993,TRUE,16,283,4,0.0141342756183746,0.25,18602
"9","REAC","Diseases associated with the TLR signaling cascade","REAC:R-HSA-5602358",0.000834027300945672,TRUE,24,284,7,0.0246478873239437,0.291666666666667,10627
"10","REAC","Diseases of Immune System","REAC:R-HSA-5260271",0.000834027300945672,TRUE,24,284,7,0.0246478873239437,0.291666666666667,10627
"11","REAC","MyD88 deficiency (TLR2/4)","REAC:R-HSA-5602498",0.0214287641174788,TRUE,10,248,4,0.0161290322580645,0.4,10627
"12","REAC","IRAK4 deficiency (TLR2/4)","REAC:R-HSA-5603041",0.0330576466567799,TRUE,11,248,4,0.0161290322580645,0.363636363636364,10627
