"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez"
"ENSG00000151632",57363.9063386222,-1.62592643155048,0.246097606263017,-6.60683562201238,3.92621562904942e-11,9.36834311247481e-07,"DOWN","AKR1C2","1646"
"ENSG00000226102",3537.89038313449,-1.97628823226815,0.342170310072435,-5.775744341611,7.66136294545022e-09,9.14038906206938e-05,"DOWN",NA,NA
"ENSG00000269814",10615.1428958539,-0.993877593353818,0.175071000966357,-5.67699726321213,1.3707966498065e-08,0.000109028596203443,"DOWN",NA,NA
"ENSG00000134294",918226.490054325,-1.05983046038457,0.19561522288997,-5.41793447732187,6.02915019249951e-08,0.000359653881858077,"DOWN","SLC38A2","54407"
"ENSG00000279694",20340.9237357944,-2.5552928574545,0.48970419638669,-5.21803340937012,1.80832851710919e-07,0.000862970534934848,"DOWN",NA,NA
"ENSG00000123689",26215.5516984162,-2.16947282188213,0.422244218713507,-5.13795743253057,2.77740772971792e-07,0.000984543912131787,"DOWN","G0S2","50486"
"ENSG00000214530",247563.047577228,-0.688038824568841,0.134587355172904,-5.11221001174234,3.18411552056527e-07,0.000984543912131787,"DOWN","STARD10","10809"
"ENSG00000181798",3215.17259485623,0.993943291631643,0.19468465183767,5.10540138757525,3.30093093208763e-07,0.000984543912131787,"UP","LINC00471","151477"
"ENSG00000115648",9366.14287236275,-2.65288272108988,0.52608575284526,-5.04268117268361,4.59053771527462e-07,0.00109572042322823,"DOWN","MLPH","79083"
"ENSG00000116661",1239794.70608266,-0.756110089270944,0.149944009636332,-5.0426161812318,4.59209766241241e-07,0.00109572042322823,"DOWN","FBXO2","26232"
"ENSG00000166426",57996.0427172697,-2.46246696942951,0.490709278294287,-5.01817894699094,5.21635776210141e-07,0.0011315228414682,"DOWN","CRABP1","1381"
"ENSG00000153404",8950.36052482022,-2.3353253090089,0.474588684492559,-4.92073533423134,8.62196587469889e-07,0.00171440606446825,"DOWN","PLEKHG4B","153478"
"ENSG00000248429",37644.4463217497,1.21838504754203,0.248979093458113,4.89352351082845,9.90464757505419e-07,0.00179191097532758,"UP","FAM198B-AS1","285505"
"ENSG00000175832",12875.3217873754,-1.9185822771432,0.393858315739171,-4.87124988980496,1.10894477947605e-06,0.00179191097532758,"DOWN","ETV4","2118"
"ENSG00000189077",208265.550096893,-0.481664036812209,0.0990119457581128,-4.86470630512523,1.14626888773425e-06,0.00179191097532758,"DOWN","TMEM120A","83862"
"ENSG00000234028",7685.38973794078,1.17130469039286,0.2412385651644,4.85537911235143,1.20156638888736e-06,0.00179191097532758,"UP","EIF2AK3-DT","101928403"
"ENSG00000181016",31678.7501308691,-1.20207401071937,0.249707870046796,-4.81392120518308,1.479971810093e-06,0.00205350849309741,"DOWN","LSMEM1","286006"
"ENSG00000096696",58700.1096046874,-2.60205481415563,0.541553789942448,-4.80479476365987,1.54910325953452e-06,0.00205350849309741,"DOWN","DSP","1832"
"ENSG00000272217",3889.43771465305,-1.68089570347737,0.351851150808979,-4.77729204412899,1.7767164022151e-06,0.00223127526701339,"DOWN",NA,NA
"ENSG00000088836",30257.8393812944,-1.05598700607537,0.222254708517168,-4.75124695049511,2.0216604683986e-06,0.00237131449070887,"DOWN","SLC4A11","83959"
"ENSG00000237575",6902.60133614714,-1.46864799306558,0.309527034994464,-4.74481330230765,2.08698731423185e-06,0.00237131449070887,"DOWN","PYY2","23615"
"ENSG00000170421",4218.8164376171,-2.96225403060526,0.627215433077264,-4.72286534161278,2.32544830491246e-06,0.00252216009106892,"DOWN","KRT8","3856"
"ENSG00000243927",273065.473037204,-1.05937564971117,0.22575869846106,-4.69251309886472,2.69869249912807e-06,0.00279971746616064,"DOWN","MRPS6","64968"
"ENSG00000231355",3287.95009958492,-1.68381071889456,0.360758195902839,-4.66742194083942,3.05002566032988e-06,0.00291260319675936,"DOWN",NA,NA
"ENSG00000087116",57649.218459819,-1.22693718736019,0.26324240584697,-4.66086451159941,3.14883963256922e-06,0.00291260319675936,"DOWN","ADAMTS2","9509"
"ENSG00000008130",249808.843264855,-0.306722687230967,0.0658974354991766,-4.65454664369753,3.24694330411139e-06,0.00291260319675936,"DOWN","NADK","65220"
"ENSG00000273113",6598.96303432978,-1.88104920964956,0.405008191432958,-4.64447201177394,3.40947263409234e-06,0.00291260319675936,"DOWN",NA,NA
"ENSG00000168397",640358.950233452,-0.532346784565947,0.114631920389469,-4.64396638176578,3.41783200659076e-06,0.00291260319675936,"DOWN","ATG4B","23192"
"ENSG00000142494",57071.0798966554,-2.09564713500039,0.452308532150834,-4.63322485878188,3.60013134565097e-06,0.0029354962245544,"DOWN","SLC47A1","55244"
"ENSG00000063322",564600.325340771,0.402661440864546,0.0870040262386167,4.62807824272648,3.69074585040995e-06,0.0029354962245544,"UP","MED29","55588"
