"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"1","DDAH1",11393,7.40977,1.26518644577515e-13,1.99203605887297e-09,"TRUE"
"2","ANKRD6",3509,7.223272,5.07513575802597e-13,3.99540062550594e-09,"TRUE"
"3","PCSK5",4937,6.758647,1.39286286559624e-11,4.45756549895491e-08,"TRUE"
"4","LINC01140",3040,6.737791,1.60812651903474e-11,4.45756549895491e-08,"TRUE"
"5","LINC01197",4258,6.529795,6.58597718717955e-11,1.15218012013491e-07,"TRUE"
"6","OSR1",3498,6.415264,1.40579033308032e-10,2.21341687943496e-07,"TRUE"
"7","CACNG3",3973,6.17891,6.45456760465194e-10,7.25908335251748e-07,"TRUE"
"8","CNR1",3630,6.119154,9.4073456312272e-10,8.95106992601452e-07,"TRUE"
"9","ABLIM3",11996,6.091766,1.11671837973526e-09,9.25406888891136e-07,"TRUE"
"10","COL21A1",278,6.066229,1.30948385635055e-09,1.03089116591197e-06,"TRUE"
"11","FARP1",6423,6.050188,1.44676899326321e-09,1.08473227613949e-06,"TRUE"
"12","SLN",11989,6.026045,1.68020419819748e-09,1.15020935220084e-06,"TRUE"
"13","PKIA",1252,5.938988,2.86786854778315e-09,1.79653534848616e-06,"TRUE"
"14","RTP1",5247,5.87064,4.34116011572141e-09,2.44112735792977e-06,"TRUE"
"15","FSTL5",187,5.793945,6.875198201615e-09,3.28030289952813e-06,"TRUE"
"16","C2CD4C",12252,5.782401,7.36419084101787e-09,3.35744617943389e-06,"TRUE"
"17","MAOB",5462,5.765016,8.16500947813217e-09,3.54484134820515e-06,"TRUE"
"18","BAIAP3",2899,5.759095,8.45661008553524e-09,3.54484134820515e-06,"TRUE"
"19","PCDH20",9156,5.74583,9.14711723808073e-09,3.69285540804054e-06,"TRUE"
"20","KCNA3",3155,5.725083,1.03383184217364e-08,4.06942058875599e-06,"TRUE"
"21","RRAS2",3884,5.687957,1.28568183741318e-08,4.80365356162168e-06,"TRUE"
"22","NUDT14",13690,5.629193,1.81054717776793e-08,6.33490340310133e-06,"TRUE"
"23","NAV3",8865,5.610384,2.01878154927696e-08,6.85817954113574e-06,"TRUE"
